Start,End
21-11-2008,24-12-2008
30-12-2008,07-01-2009
28-01-2009,16-02-2009
26-02-2009,02-03-2009
13-03-2009,30-03-2009
02-04-2009,28-04-2009
04-05-2009,08-06-2009
10-06-2009,15-06-2009
26-06-2009,06-07-2009
14-07-2009,07-08-2009
13-08-2009,17-08-2009
24-08-2009,02-09-2009
07-09-2009,05-10-2009
14-10-2009,21-10-2009
06-11-2009,19-11-2009
23-11-2009,26-11-2009
30-11-2009,15-12-2009
23-12-2009,12-01-2010
18-01-2010,21-01-2010
16-02-2010,08-04-2010
23-04-2010,28-04-2010
10-05-2010,17-05-2010
27-05-2010,07-06-2010
11-06-2010,29-06-2010
09-07-2010,28-07-2010
03-08-2010,12-08-2010
18-08-2010,25-08-2010
01-09-2010,12-10-2010
13-10-2010,15-10-2010
01-11-2010,11-11-2010
01-12-2010,08-12-2010
14-12-2010,31-12-2010
26-09-2011,03-10-2011
10-10-2011,09-11-2011
24-05-2012,31-05-2012
06-06-2012,12-07-2012
30-07-2012,27-08-2012
07-09-2012,09-10-2012
02-11-2012,09-11-2012
26-11-2012,13-12-2012
19-12-2012,21-12-2012
01-01-2013,11-01-2013
15-01-2013,24-01-2013
19-02-2013,21-02-2013
23-08-2013,27-08-2013
29-08-2013,03-09-2013
05-09-2013,23-09-2013
03-10-2013,28-10-2013
29-10-2013,05-11-2013
18-11-2013,21-11-2013
25-11-2013,12-12-2013
20-12-2013,02-01-2014
13-01-2014,24-01-2014
07-02-2014,13-02-2014
18-02-2014,16-04-2014
21-04-2014,28-04-2014
09-05-2014,29-05-2014
02-06-2014,16-06-2014
17-06-2014,26-06-2014
30-06-2014,08-07-2014
16-07-2014,31-07-2014
12-08-2014,15-09-2014
18-09-2014,23-09-2014
09-10-2014,16-10-2014
21-10-2014,08-12-2014
18-12-2014,24-12-2014
02-01-2015,06-01-2015
08-01-2015,30-01-2015
12-02-2015,23-02-2015
27-02-2015,09-03-2015
30-03-2015,16-04-2015
04-05-2015,06-05-2015
11-05-2015,12-05-2015
18-05-2015,25-05-2015
29-05-2015,02-06-2015
17-06-2015,08-07-2015
13-07-2015,21-07-2015
31-07-2015,11-08-2015
14-08-2015,21-08-2015
23-02-2016,24-02-2016
01-03-2016,29-03-2016
30-03-2016,05-04-2016
11-04-2016,28-04-2016
09-05-2016,19-05-2016
25-05-2016,09-06-2016
15-06-2016,24-06-2016
29-06-2016,03-08-2016
05-08-2016,10-08-2016
12-08-2016,25-08-2016
30-08-2016,12-09-2016
19-09-2016,26-09-2016
03-10-2016,13-10-2016
18-10-2016,26-10-2016
08-11-2016,11-11-2016
23-12-2016,26-12-2016
27-12-2016,20-01-2017
24-01-2017,15-02-2017
17-02-2017,28-02-2017
06-03-2017,22-03-2017
29-03-2017,10-04-2017
24-04-2017,05-05-2017
10-05-2017,18-05-2017
25-05-2017,13-06-2017
19-06-2017,23-06-2017
03-07-2017,18-07-2017
21-07-2017,03-08-2017
16-08-2017,21-08-2017
28-08-2017,29-08-2017
31-08-2017,22-09-2017
04-10-2017,07-11-2017
17-11-2017,30-11-2017
08-12-2017,13-12-2017
15-12-2017,01-01-2018
05-01-2018,31-01-2018
22-02-2019,25-03-2019
26-03-2019,10-04-2019
15-04-2019,22-04-2019
24-04-2019,06-05-2019
23-08-2019,03-09-2019
09-09-2019,17-09-2019
20-09-2019,03-10-2019
15-10-2019,13-11-2019
20-11-2019,03-12-2019
13-12-2019,26-12-2019
27-12-2019,06-01-2020
09-01-2020,20-01-2020
04-02-2020,17-02-2020
19-02-2020,24-02-2020
24-03-2020,03-04-2020
07-04-2020,21-04-2020
23-04-2020,04-05-2020
13-05-2020,14-05-2020
27-05-2020,11-06-2020
18-06-2020,14-07-2020
17-07-2020,31-07-2020
06-08-2020,14-08-2020
18-08-2020,31-08-2020
10-09-2020,21-09-2020
28-09-2020,15-10-2020
21-10-2020,26-10-2020
04-11-2020,25-11-2020
01-12-2020,21-12-2020
23-12-2020,18-01-2021
20-01-2021,22-01-2021
01-02-2021,18-02-2021
24-02-2021,26-02-2021
03-03-2021,15-03-2021
30-03-2021,12-04-2021
27-04-2021,30-04-2021
07-05-2021,12-05-2021
17-05-2021,17-06-2021
24-06-2021,01-07-2021
05-07-2021,08-07-2021
13-07-2021,19-07-2021
22-07-2021,20-08-2021
24-08-2021,20-09-2021
23-09-2021,30-09-2021
05-10-2021,20-10-2021
08-11-2021,17-11-2021
24-06-2022,13-07-2022
18-07-2022,26-07-2022
28-07-2022,19-08-2022
30-08-2022,15-09-2022
20-09-2022,23-09-2022
04-10-2022,11-10-2022
17-10-2022,10-11-2022
11-11-2022,21-11-2022
24-11-2022,06-12-2022
13-12-2022,15-12-2022
22-02-2023,24-02-2023
03-03-2023,10-03-2023
31-03-2023,18-04-2023
25-04-2023,17-05-2023
23-05-2023,09-06-2023
13-06-2023,23-06-2023
27-06-2023,24-07-2023
09-08-2023,17-08-2023
01-09-2023,20-09-2023
06-10-2023,18-10-2023
03-11-2023,20-12-2023
26-12-2023,03-01-2024
12-01-2024,17-01-2024
29-01-2024,12-02-2024
15-02-2024,28-02-2024
01-03-2024,11-03-2024
22-03-2024,12-04-2024
22-04-2024,06-05-2024
16-05-2024,29-05-2024
03-06-2024,04-06-2024
07-06-2024,24-07-2024
26-07-2024,02-08-2024
16-08-2024,05-09-2024
12-09-2024,30-09-2024
21-02-2025,24-02-2025
05-03-2025,01-04-2025
08-04-2025,09-05-2025
12-05-2025,22-05-2025
23-05-2025,03-06-2025
06-06-2025,12-06-2025
16-06-2025,10-07-2025
23-07-2025,25-07-2025
18-08-2025,22-08-2025
03-09-2025,22-09-2025
03-10-2025,31-10-2025
11-11-2025,24-11-2025
26-11-2025,03-12-2025
05-12-2025,09-12-2025
12-12-2025,29-12-2025
31-12-2025,08-01-2026
