Ticker,Date,Time,Expiry Date,Open,High,Low,Close,Volume,Open Interest,Padding Flag
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:15:00,2023-10-31,9.1,9.1,9.1,9.1,0,0,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:16:00,2023-10-31,9.1,9.1,9.1,9.1,0,0,1
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:17:00,2023-10-31,9.1,9.1,9.1,9.1,0,0,1
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:18:00,2023-10-31,9.1,9.1,9.1,9.1,0,0,1
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:19:00,2023-10-31,9.05,9.25,9.05,9.2,2040,0,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:20:00,2023-10-31,9.2,9.85,9.2,9.8,5640,3720,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:21:00,2023-10-31,9.8,10.55,9.8,10.45,1400,3720,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:22:00,2023-10-31,10.45,12.0,10.45,12.0,5000,3720,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:23:00,2023-10-31,12.2,12.65,11.5,11.65,9440,5800,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:24:00,2023-10-31,11.65,11.95,11.55,11.8,2720,5800,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:25:00,2023-10-31,11.4,11.4,11.0,11.1,1840,5800,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:26:00,2023-10-31,11.1,11.1,10.75,10.85,1880,5800,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:27:00,2023-10-31,10.85,12.0,10.8,12.0,840,5800,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:28:00,2023-10-31,12.0,12.3,11.95,11.95,960,5800,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:29:00,2023-10-31,11.95,12.15,11.6,12.15,1320,7080,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:30:00,2023-10-31,12.15,12.15,11.6,11.7,1120,7080,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:31:00,2023-10-31,11.7,11.7,11.25,11.25,840,7080,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:32:00,2023-10-31,11.25,11.55,11.1,11.2,1320,6720,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:33:00,2023-10-31,11.2,11.4,11.15,11.2,200,6720,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:34:00,2023-10-31,11.4,11.4,11.15,11.3,1200,6720,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:35:00,2023-10-31,11.3,11.35,10.9,11.35,720,6720,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:36:00,2023-10-31,11.35,11.35,11.0,11.05,1040,7040,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:37:00,2023-10-31,11.05,11.05,10.8,10.95,480,7040,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:38:00,2023-10-31,10.95,11.0,10.7,10.75,480,8000,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:39:00,2023-10-31,10.75,10.75,10.35,10.45,2240,8000,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:40:00,2023-10-31,10.45,11.5,10.45,11.2,7400,8000,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:41:00,2023-10-31,11.2,11.55,10.45,10.7,1840,8680,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:42:00,2023-10-31,10.7,11.7,10.7,11.35,1560,8680,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:43:00,2023-10-31,11.5,11.8,11.3,11.8,7960,8680,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:44:00,2023-10-31,11.8,13.25,11.8,12.65,3000,12000,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:45:00,2023-10-31,12.65,13.5,11.75,13.4,1600,12000,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:46:00,2023-10-31,13.55,14.2,13.2,13.2,2160,12000,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:47:00,2023-10-31,13.2,13.2,12.6,13.15,2120,12560,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:48:00,2023-10-31,13.05,13.35,12.8,12.85,2400,12560,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:49:00,2023-10-31,12.85,12.85,12.45,12.6,1480,12560,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:50:00,2023-10-31,12.6,13.3,12.6,13.2,4520,14040,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:51:00,2023-10-31,13.2,13.45,13.0,13.2,1080,14040,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:52:00,2023-10-31,13.2,13.75,13.15,13.25,560,14040,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:53:00,2023-10-31,13.25,13.55,12.8,12.9,6440,13240,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:54:00,2023-10-31,12.9,12.95,12.9,12.95,40,13240,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:55:00,2023-10-31,12.95,13.25,12.9,12.9,440,13240,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:56:00,2023-10-31,12.9,13.1,12.9,13.1,200,13240,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:57:00,2023-10-31,13.1,13.3,13.1,13.2,320,12480,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:58:00,2023-10-31,13.2,13.2,12.5,12.9,1520,12480,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,09:59:00,2023-10-31,12.9,13.15,12.85,13.15,920,12480,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:00:00,2023-10-31,13.15,13.15,11.9,12.9,1600,12880,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:01:00,2023-10-31,12.9,13.1,12.55,12.55,280,12880,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:02:00,2023-10-31,12.55,12.8,12.55,12.7,280,12880,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:03:00,2023-10-31,12.7,12.7,12.4,12.65,200,13360,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:04:00,2023-10-31,12.65,13.0,12.55,12.95,4520,13360,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:05:00,2023-10-31,12.95,13.3,12.95,13.05,1360,16280,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:06:00,2023-10-31,13.05,13.2,12.8,13.2,1200,16280,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:07:00,2023-10-31,13.2,13.95,13.15,13.75,1440,16280,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:08:00,2023-10-31,13.75,13.75,13.25,13.25,200,17640,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:09:00,2023-10-31,13.25,13.25,13.0,13.05,120,17640,0
FINNIFTY31OCT2318350PE.NFO,2023-10-26,10:10:00,2023-10-31,13.05,13.05,12.6,12.6,40,17640,0
