Ticker,Date,Time,Expiry Date,Open,High,Low,Close,Volume,Open Interest,Padding Flag
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:15:00,2024-05-27,191.8,191.8,191.8,191.8,0,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:16:00,2024-05-27,191.8,191.8,182.6,182.6,0,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:17:00,2024-05-27,182.6,182.6,182.0,182.0,150,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:18:00,2024-05-27,182.0,182.0,182.0,182.0,0,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:19:00,2024-05-27,182.0,182.0,182.0,182.0,0,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:20:00,2024-05-27,182.0,182.0,182.0,182.0,0,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:21:00,2024-05-27,182.0,182.0,182.0,182.0,0,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:22:00,2024-05-27,182.0,182.0,182.0,182.0,0,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:23:00,2024-05-27,182.0,182.0,182.0,182.0,0,0,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:24:00,2024-05-27,182.0,182.0,122.85,171.25,2700,1725,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:25:00,2024-05-27,171.25,176.05,170.55,173.6,1575,1725,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:26:00,2024-05-27,173.6,175.4,167.75,173.9,1275,1725,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:27:00,2024-05-27,173.9,174.1,169.5,174.0,1500,1725,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:28:00,2024-05-27,174.0,177.65,172.0,177.65,450,2250,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:29:00,2024-05-27,177.65,178.15,170.25,178.15,2400,2250,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:30:00,2024-05-27,178.15,178.15,170.6,172.85,600,2250,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:31:00,2024-05-27,172.85,176.55,170.05,176.4,1950,2625,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:32:00,2024-05-27,176.4,177.1,174.45,174.45,1725,2625,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:33:00,2024-05-27,174.45,180.0,174.45,180.0,375,3750,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:34:00,2024-05-27,180.0,182.4,177.0,182.4,225,3750,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:35:00,2024-05-27,182.4,182.4,172.55,174.95,600,3750,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:36:00,2024-05-27,174.95,178.75,172.9,178.75,900,4425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:37:00,2024-05-27,178.75,178.75,172.55,177.4,525,4425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:38:00,2024-05-27,177.4,178.7,177.4,178.7,525,4425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:39:00,2024-05-27,178.7,178.7,174.55,178.0,900,5475,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:40:00,2024-05-27,178.0,181.9,174.85,178.0,1875,5475,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:41:00,2024-05-27,178.0,178.0,171.0,176.0,1950,5475,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:42:00,2024-05-27,176.0,176.0,169.65,172.15,1275,6600,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:43:00,2024-05-27,172.15,174.0,172.15,174.0,825,6600,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:44:00,2024-05-27,174.0,174.0,168.3,168.3,1800,6600,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:45:00,2024-05-27,168.3,172.2,168.3,170.0,150,8850,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:46:00,2024-05-27,170.0,173.65,169.55,169.6,2100,8850,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:47:00,2024-05-27,169.6,173.0,169.55,173.0,900,8850,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:48:00,2024-05-27,173.0,173.0,172.25,172.65,750,8925,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:49:00,2024-05-27,172.65,172.65,169.9,172.05,300,8925,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:50:00,2024-05-27,172.05,172.05,169.55,169.55,225,8925,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:51:00,2024-05-27,168.95,173.0,168.95,173.0,750,8925,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:52:00,2024-05-27,174.0,175.0,174.0,175.0,375,9075,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:53:00,2024-05-27,175.0,176.45,169.5,169.75,1650,9075,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:54:00,2024-05-27,169.75,172.75,169.75,172.75,975,9075,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:55:00,2024-05-27,172.75,172.75,171.65,172.15,225,9075,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:56:00,2024-05-27,172.15,172.7,167.8,172.65,1350,9075,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:57:00,2024-05-27,172.65,174.25,166.6,174.05,3525,10575,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:58:00,2024-05-27,174.05,174.05,170.5,170.5,0,10575,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,09:59:00,2024-05-27,170.5,176.4,170.5,176.4,375,10575,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:00:00,2024-05-27,176.4,181.75,173.6,181.05,675,10650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:01:00,2024-05-27,178.1,185.45,174.55,179.9,2025,10650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:02:00,2024-05-27,179.9,179.9,170.8,170.8,1800,10650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:03:00,2024-05-27,170.8,170.8,170.8,170.8,0,10650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:04:00,2024-05-27,170.8,181.75,170.8,181.75,225,10725,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:05:00,2024-05-27,181.75,181.75,180.95,180.95,450,10725,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:06:00,2024-05-27,180.95,193.45,180.95,193.45,300,10725,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:07:00,2024-05-27,193.45,198.1,193.45,194.25,375,10800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:08:00,2024-05-27,194.25,194.25,194.25,194.25,0,10800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:09:00,2024-05-27,194.25,194.25,192.2,193.95,375,10800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:10:00,2024-05-27,193.95,193.95,185.8,185.8,75,11400,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:11:00,2024-05-27,185.8,188.25,183.2,183.2,825,11400,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:12:00,2024-05-27,183.2,191.2,183.2,191.2,600,11100,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:13:00,2024-05-27,191.2,191.75,190.0,190.0,1125,11100,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:14:00,2024-05-27,190.0,192.3,190.0,192.3,150,11100,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:15:00,2024-05-27,192.3,192.3,192.3,192.3,75,10425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:16:00,2024-05-27,194.1,194.95,194.1,194.9,225,10425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:17:00,2024-05-27,194.9,194.9,194.9,194.9,75,10425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:18:00,2024-05-27,194.9,194.9,194.9,194.9,0,10425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:19:00,2024-05-27,194.9,194.9,182.8,182.8,75,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:20:00,2024-05-27,182.8,182.8,182.8,182.8,0,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:21:00,2024-05-27,182.8,182.8,182.8,182.8,0,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:22:00,2024-05-27,182.8,190.0,182.8,189.45,300,10275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:23:00,2024-05-27,189.45,189.45,189.45,189.45,0,10275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:24:00,2024-05-27,189.45,189.45,189.45,189.45,0,10275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:25:00,2024-05-27,189.45,198.9,189.45,198.9,150,10125,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:26:00,2024-05-27,198.9,198.9,198.9,198.9,0,10125,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:27:00,2024-05-27,198.9,198.9,190.0,190.0,75,10125,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:28:00,2024-05-27,190.0,190.0,190.0,190.0,0,10125,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:29:00,2024-05-27,190.0,190.0,190.0,190.0,0,10125,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:30:00,2024-05-27,190.0,203.8,190.0,203.8,75,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:31:00,2024-05-27,203.8,203.8,203.8,203.8,0,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:32:00,2024-05-27,203.8,203.8,203.8,203.8,0,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:33:00,2024-05-27,203.8,203.8,203.75,203.8,150,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:34:00,2024-05-27,203.8,203.8,193.25,201.35,975,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:35:00,2024-05-27,201.35,201.35,201.35,201.35,0,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:36:00,2024-05-27,201.35,201.35,191.35,191.35,75,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:37:00,2024-05-27,191.35,191.35,191.35,191.35,0,10200,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:38:00,2024-05-27,191.35,200.85,191.35,199.2,225,10875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:39:00,2024-05-27,199.2,199.2,199.2,199.2,0,10875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:40:00,2024-05-27,199.2,207.0,199.2,207.0,75,10875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:41:00,2024-05-27,207.0,207.0,207.0,207.0,0,10875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:42:00,2024-05-27,207.0,207.0,195.05,195.05,1575,10875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:43:00,2024-05-27,195.05,195.1,195.05,195.1,450,10875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:44:00,2024-05-27,195.1,195.1,195.1,195.1,0,10875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:45:00,2024-05-27,195.1,198.15,195.1,198.15,300,12375,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:46:00,2024-05-27,198.15,198.15,188.75,190.0,1650,12375,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:47:00,2024-05-27,190.0,193.3,190.0,193.0,525,12375,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:48:00,2024-05-27,193.0,193.0,193.0,193.0,0,12375,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:49:00,2024-05-27,193.0,193.0,193.0,193.0,0,12375,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:50:00,2024-05-27,193.0,193.0,193.0,193.0,0,12375,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:51:00,2024-05-27,193.0,193.0,193.0,193.0,0,12375,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:52:00,2024-05-27,191.15,191.25,187.45,191.25,675,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:53:00,2024-05-27,191.25,191.25,191.25,191.25,0,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:54:00,2024-05-27,191.25,191.25,191.25,191.25,0,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:55:00,2024-05-27,191.25,191.25,191.25,191.25,0,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:56:00,2024-05-27,191.25,191.25,191.25,191.25,0,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:57:00,2024-05-27,191.25,191.25,182.75,182.75,75,13800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:58:00,2024-05-27,182.75,182.75,182.75,182.75,0,13800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,10:59:00,2024-05-27,182.75,182.75,182.75,182.75,0,13800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:00:00,2024-05-27,182.75,182.8,178.2,178.2,600,13800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:01:00,2024-05-27,178.2,178.2,178.2,178.2,0,13800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:02:00,2024-05-27,178.2,178.2,177.0,177.0,75,13875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:03:00,2024-05-27,177.0,177.0,177.0,177.0,0,13875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:04:00,2024-05-27,177.0,180.0,177.0,180.0,75,13875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:05:00,2024-05-27,180.0,180.0,180.0,180.0,0,13875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:06:00,2024-05-27,180.0,180.0,180.0,180.0,0,13875,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:07:00,2024-05-27,180.0,182.55,180.0,182.55,150,13800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:08:00,2024-05-27,182.55,183.85,182.55,183.85,0,13800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:09:00,2024-05-27,183.85,183.85,183.85,183.85,0,13800,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:10:00,2024-05-27,183.85,185.25,183.85,185.25,300,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:11:00,2024-05-27,185.25,185.25,185.25,185.25,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:12:00,2024-05-27,185.25,185.25,185.25,185.25,75,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:13:00,2024-05-27,185.25,185.25,185.25,185.25,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:14:00,2024-05-27,185.25,185.25,184.75,184.95,150,13350,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:15:00,2024-05-27,184.95,184.95,180.0,180.0,150,13350,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:16:00,2024-05-27,180.0,180.0,180.0,180.0,0,13350,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:17:00,2024-05-27,180.0,183.0,180.0,183.0,75,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:18:00,2024-05-27,183.0,185.0,183.0,185.0,75,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:19:00,2024-05-27,185.0,185.0,185.0,185.0,0,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:20:00,2024-05-27,185.0,186.7,185.0,186.7,225,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:21:00,2024-05-27,186.7,186.7,186.0,186.0,75,13275,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:22:00,2024-05-27,186.0,186.0,185.0,185.0,225,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:23:00,2024-05-27,186.0,186.0,181.8,181.8,150,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:24:00,2024-05-27,181.8,181.8,181.8,181.8,0,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:25:00,2024-05-27,181.8,181.8,181.8,181.8,0,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:26:00,2024-05-27,181.8,181.8,181.8,181.8,0,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:27:00,2024-05-27,181.8,181.8,181.8,181.8,0,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:28:00,2024-05-27,181.8,181.8,181.8,181.8,0,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:29:00,2024-05-27,181.8,181.8,181.8,181.8,0,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:30:00,2024-05-27,181.8,200.75,181.8,200.75,75,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:31:00,2024-05-27,200.75,200.75,188.25,188.25,225,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:32:00,2024-05-27,188.25,188.25,188.25,188.25,0,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:33:00,2024-05-27,188.25,196.05,188.25,196.05,225,13425,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:34:00,2024-05-27,196.05,196.05,184.15,184.15,525,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:35:00,2024-05-27,184.15,184.15,184.15,184.15,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:36:00,2024-05-27,184.15,187.55,184.15,187.55,75,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:37:00,2024-05-27,187.55,187.55,187.0,187.0,225,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:38:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:39:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:40:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:41:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:42:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:43:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:44:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:45:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:46:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:47:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:48:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:49:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:50:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:51:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:52:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:53:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:54:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:55:00,2024-05-27,187.0,187.0,187.0,187.0,0,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:56:00,2024-05-27,187.0,188.6,187.0,188.6,150,13650,0
MIDCPNIFTY27MAY2411200PE.NFO,2024-05-15,11:57:00,2024-05-27,188.6,188.6,188.6,188.6,0,13650,0
