Entry Date,Exit Date,Entry Spot,Exit Spot,Future Expiry,Future EntryPrice,Future ExitPrice,Future P&L,Call Expiry,Call Strike,Call EntryPrice,Call Entry Turnover,Call ExitPrice,Call Exit Turnover,Call P&L,Net P&L
2019-02-22,2019-02-28,10791.65,10792.5,2019-03-28,10847.4,10857.25,9.85,2019-02-28,10900.0,29.45,1430989.59,0.1,6513593.31,29.35,39.2
2019-02-28,2019-03-07,10792.5,11058.2,2019-03-28,10857.25,11098.2,240.95,2019-03-07,10900.0,52.85,359304.4,151.0,204769.16,-98.15,142.8
2019-03-07,2019-03-14,11058.2,11343.25,2019-03-28,11098.2,11381.75,283.55,2019-03-14,11200.0,18.8,301124.26,132.15,201119.33,-113.35,170.2
2019-03-14,2019-03-20,11343.25,11521.05,2019-03-28,11381.75,11553.2,171.45,2019-03-20,11500.0,21.1,297404.79,19.5,3233176.32,1.6,173.05
2019-03-20,2019-03-28,11521.05,11570.0,2019-03-28,11553.2,11569.45,16.25,2019-03-28,11600.0,58.2,1151733.39,0.2,5767130.33,58.0,74.25
2019-03-28,2019-04-04,11570.0,11598.0,2019-04-25,11663.6,11679.55,15.95,2019-04-04,11700.0,52.7,302185.22,0.05,5689291.6,52.65,68.6
2019-04-04,2019-04-11,11598.0,11596.7,2019-04-25,11679.55,11668.9,-10.65,2019-04-11,11700.0,46.35,596999.05,0.1,2557221.1,46.25,35.6
2019-04-11,2019-04-18,11596.7,11752.8,2019-04-25,11668.9,11771.1,102.2,2019-04-18,11700.0,42.6,522984.27,49.0,1887485.2,-6.4,95.8
2019-04-18,2019-04-25,11752.8,11641.8,2019-04-25,11771.1,11652.5,-118.6,2019-04-25,11900.0,18.5,1148542.16,0.05,969790.64,18.45,-100.15
2019-04-25,2019-05-02,11641.8,11724.75,2019-05-30,11730.85,11765.4,34.55,2019-05-02,11800.0,14.55,1213689.35,0.1,9268284.98,14.45,49.0
2019-05-02,2019-05-09,11724.75,11301.8,2019-05-30,11765.4,11334.8,-430.6,2019-05-09,11800.0,40.95,830651.01,0.05,282335.05,40.9,-389.7
2019-05-09,2019-05-10,11301.8,11278.9,2019-05-30,11334.8,11307.2,-27.6,2019-05-16,11400.0,57.6,958746.49,53.1,2604299.86,4.5,-23.1
