Entry Date,Exit Date,Entry Spot,Exit Spot,Put Expiry,Put Strike,Put EntryPrice,Put Entry Turnover,Put ExitPrice,Put Exit Turnover,Put P&L,Call Expiry,Call Strike,Call EntryPrice,Call Entry Turnover,Call ExitPrice,Call Exit Turnover,Call P&L,Net P&L
2019-04-30,2019-05-08,11748.15,11359.45,2019-05-09,11800.0,110.4,44002.49,421.5,30674.01,-311.1,2019-05-09,11800.0,55.9,232277.19,1.15,1108665.6,54.75,-256.35
2019-05-08,2019-05-10,11359.45,11278.9,2019-05-16,11400.0,101.4,351654.25,156.45,563520.73,-55.05,2019-05-16,11400.0,99.7,180350.31,53.1,2604299.86,46.6,-8.45
2019-10-31,2019-11-06,11877.45,11966.05,2019-11-07,11900.0,106.95,669438.02,13.35,5008788.06,93.6,2019-11-07,11900.0,83.15,833136.23,86.95,3767482.87,-3.8,89.8
2019-11-06,2019-11-13,11966.05,11840.45,2019-11-14,12000.0,102.9,162267.74,160.25,808231.69,-57.35,2019-11-14,12000.0,87.5,382161.99,3.1,4506694.38,84.4,27.05
2019-11-13,2019-11-20,11840.45,11999.1,2019-11-21,11900.0,118.7,287280.25,8.45,4092933.57,110.25,2019-11-21,11900.0,70.0,293661.66,111.85,1153214.96,-41.85,68.4
2019-11-20,2019-11-27,11999.1,12100.7,2019-11-28,12100.0,132.95,212871.8,27.4,4266041.11,105.55,2019-11-28,12100.0,50.9,737750.53,38.4,4932795.21,12.5,118.05
2019-11-27,2019-11-29,12100.7,12056.05,2019-12-05,12200.0,130.0,41741.4,157.05,533975.08,-27.05,2019-12-05,12200.0,47.15,233746.23,20.6,2298054.08,26.55,-0.5
2020-01-31,2020-02-05,11962.1,12089.15,2020-02-06,12000.0,158.35,1672318.12,8.8,6558993.36,149.55,2020-02-06,12000.0,137.15,1313947.69,93.9,7352091.31,43.25,192.8
2020-02-05,2020-02-12,12089.15,12201.2,2020-02-13,12100.0,99.8,74821.43,4.8,4291033.96,95.0,2020-02-13,12100.0,72.95,350299.98,118.4,1533523.17,-45.45,49.55
2020-02-12,2020-02-19,12201.2,12125.9,2020-02-20,12300.0,124.65,20515.4,169.45,52666.14,-44.8,2020-02-20,12300.0,40.9,241147.62,1.45,1910892.71,39.45,-5.35
