Date,Time,Open,High,Low,Close,Quantity,Average
10-Nov-2025,0,1222.00,1232.80,1218.90,1219.40,2958662,1224.99
07-Nov-2025,,1227.00,1228.80,1217.00,1222.80,3461466,0.00
06-Nov-2025,,1225.00,1239.60,1225.00,1228.50,3733721,0.00
04-Nov-2025,,1230.10,1235.90,1222.80,1226.60,3299345,0.00
03-Nov-2025,,1226.00,1241.00,1222.30,1233.70,6118907,0.00
31-Oct-2025,,1243.00,1245.40,1231.00,1232.80,4106607,0.00
30-Oct-2025,,1243.00,1248.00,1235.00,1238.60,4017532,0.00
29-Oct-2025,,1246.90,1251.00,1239.20,1248.80,4578825,0.00
28-Oct-2025,,1249.00,1258.90,1236.60,1246.30,8146777,0.00
27-Oct-2025,,1243.40,1258.50,1242.60,1254.10,6185072,0.00
24-Oct-2025,,1254.20,1256.00,1240.10,1241.90,4882046,0.00
23-Oct-2025,,1246.00,1276.10,1241.30,1258.80,14611221,0.00
21-Oct-2025,,1225.80,1238.80,1222.00,1237.30,1940248,0.00
20-Oct-2025,,1207.90,1231.70,1207.00,1226.00,7418616,0.00
17-Oct-2025,,1196.30,1212.90,1191.60,1200.20,6404414,0.00
16-Oct-2025,,1216.40,1216.90,1185.30,1196.30,17747171,0.00
15-Oct-2025,,1180.00,1181.70,1164.00,1169.60,6328142,0.00
14-Oct-2025,,1191.80,1191.80,1166.60,1176.80,5742538,0.00
13-Oct-2025,,1171.00,1193.60,1167.50,1189.60,4138448,0.00
10-Oct-2025,,1168.00,1191.70,1165.20,1180.40,6933035,0.00
09-Oct-2025,,1178.00,1187.30,1163.10,1167.40,7194651,0.00
08-Oct-2025,,1180.10,1194.80,1174.10,1180.60,5160430,0.00
07-Oct-2025,,1212.00,1212.00,1184.00,1186.80,8620156,0.00
06-Oct-2025,,1185.00,1215.20,1182.10,1212.80,20128505,0.00
03-Oct-2025,,1171.00,1188.00,1169.50,1181.00,11095015,0.00
01-Oct-2025,,1132.50,1164.80,1131.00,1159.50,9655009,0.00
30-Sep-2025,,1130.00,1137.00,1125.40,1131.60,8165203,0.00
29-Sep-2025,,1155.40,1158.30,1126.70,1132.20,9693881,0.00
26-Sep-2025,,1161.60,1169.70,1148.00,1154.00,5618932,0.00
25-Sep-2025,,1154.70,1171.80,1153.40,1166.60,11188302,0.00
24-Sep-2025,,1168.00,1172.80,1154.00,1158.90,12812055,0.00
23-Sep-2025,,1146.00,1172.80,1141.90,1170.80,16079093,0.00
22-Sep-2025,,1136.00,1147.60,1131.20,1144.40,7689900,0.00
19-Sep-2025,,1133.00,1144.10,1126.60,1135.90,8910732,0.00
18-Sep-2025,,1129.00,1134.40,1121.20,1133.00,5713032,0.00
17-Sep-2025,,1121.30,1128.50,1116.10,1126.00,5590739,0.00
16-Sep-2025,,1105.70,1127.10,1104.00,1121.20,7965606,0.00
15-Sep-2025,,1105.00,1110.00,1100.00,1104.40,3881807,0.00
12-Sep-2025,,1088.40,1108.70,1088.40,1105.30,6014850,0.00
11-Sep-2025,,1069.00,1093.00,1069.00,1087.40,5227539,0.00
10-Sep-2025,,1058.00,1074.10,1055.10,1070.10,5241075,0.00
09-Sep-2025,,1057.50,1059.00,1048.70,1052.20,4310419,0.00
08-Sep-2025,,1055.90,1063.00,1054.00,1055.50,2260147,0.00
05-Sep-2025,,1056.60,1058.00,1047.80,1055.90,2849589,0.00
