Date,Time,Open,High,Low,Close,Quantity,Average
10-Nov-2025,0,1995.00,2023.60,1992.20,2023.30,4206712,2013.44
07-Nov-2025,,2048.00,2048.00,1995.60,2001.20,70392750,0.00
06-Nov-2025,,2115.00,2123.30,2080.50,2094.90,9546299,0.00
04-Nov-2025,,2107.00,2135.60,2103.50,2113.30,12263078,0.00
03-Nov-2025,,2055.00,2081.00,2047.20,2074.00,2979629,0.00
31-Oct-2025,,2056.00,2073.80,2051.70,2054.50,4659723,0.00
30-Oct-2025,,2070.00,2088.00,2058.60,2066.30,4222189,0.00
29-Oct-2025,,2083.00,2110.40,2081.60,2100.60,2742750,0.00
28-Oct-2025,,2092.00,2102.60,2071.70,2090.20,9891522,0.00
27-Oct-2025,,2030.00,2094.00,2030.00,2080.10,5796831,0.00
24-Oct-2025,,2008.00,2033.00,2006.90,2029.30,3236799,0.00
23-Oct-2025,,2063.90,2067.00,2003.60,2007.90,8790128,0.00
21-Oct-2025,,2051.80,2058.50,2038.50,2043.50,240850,0.00
20-Oct-2025,,2026.00,2057.00,2019.70,2051.50,7387180,0.00
17-Oct-2025,,1973.60,2034.30,1970.30,2012.00,6743801,0.00
16-Oct-2025,,1962.30,1986.90,1962.00,1967.40,3700674,0.00
15-Oct-2025,,1957.20,1976.00,1951.60,1968.50,3447352,0.00
14-Oct-2025,,1964.00,1964.00,1939.20,1946.60,4454239,0.00
13-Oct-2025,,1937.90,1965.90,1936.00,1954.90,3672419,0.00
10-Oct-2025,,1937.00,1947.60,1935.40,1939.90,2512581,0.00
09-Oct-2025,,1945.00,1948.80,1931.30,1942.00,3945737,0.00
08-Oct-2025,,1929.00,1962.60,1927.60,1943.50,4957406,0.00
07-Oct-2025,,1900.00,1946.00,1900.00,1929.00,5713060,0.00
06-Oct-2025,,1892.60,1907.00,1887.50,1903.10,2809218,0.00
03-Oct-2025,,1851.20,1900.30,1848.10,1896.70,5828332,0.00
01-Oct-2025,,1868.00,1877.00,1855.90,1867.60,5675393,0.00
30-Sep-2025,,1896.00,1907.60,1875.20,1878.40,5945625,0.00
29-Sep-2025,,1928.00,1928.00,1897.50,1902.20,5072608,0.00
26-Sep-2025,,1931.10,1944.70,1911.90,1916.60,3239306,0.00
25-Sep-2025,,1930.00,1950.00,1928.80,1935.60,7133365,0.00
24-Sep-2025,,1926.00,1937.30,1918.80,1931.10,5237977,0.00
23-Sep-2025,,1950.00,1955.00,1930.10,1938.70,4348633,0.00
22-Sep-2025,,1954.00,1966.00,1944.00,1956.20,4469137,0.00
19-Sep-2025,,1930.20,1976.80,1927.80,1962.40,11287603,0.00
18-Sep-2025,,1944.50,1949.80,1920.50,1941.10,5080814,0.00
17-Sep-2025,,1938.10,1950.10,1932.60,1941.30,4234637,0.00
16-Sep-2025,,1903.30,1942.00,1902.50,1939.50,5427586,0.00
15-Sep-2025,,1904.00,1913.00,1898.40,1904.50,3553258,0.00
12-Sep-2025,,1925.00,1925.00,1901.60,1902.60,3192824,0.00
11-Sep-2025,,1884.00,1916.00,1882.10,1913.00,4718266,0.00
10-Sep-2025,,1904.00,1905.00,1883.00,1891.40,3566139,0.00
09-Sep-2025,,1892.00,1904.00,1883.00,1893.70,4517793,0.00
08-Sep-2025,,1898.00,1899.00,1884.10,1887.70,2547552,0.00
05-Sep-2025,,1887.00,1910.70,1875.70,1895.30,2620140,0.00
04-Sep-2025,,1899.00,1903.50,1876.60,1880.40,5205333,0.00
03-Sep-2025,,1891.00,1892.10,1870.00,1883.90,3803044,0.00
02-Sep-2025,,1904.50,1917.50,1878.00,1887.20,4423049,0.00
01-Sep-2025,,1889.00,1904.80,1884.20,1900.60,3421488,0.00
29-Aug-2025,,1872.50,1900.10,1872.50,1888.80,4339042,0.00
28-Aug-2025,,1893.00,1899.80,1878.20,1881.10,5494113,0.00
26-Aug-2025,,1922.10,1925.80,1896.20,1904.70,5984656,0.00
25-Aug-2025,,1940.00,1940.10,1913.20,1930.70,2451388,0.00
22-Aug-2025,,1934.00,1947.70,1917.40,1933.30,3271920,0.00
21-Aug-2025,,1930.00,1940.90,1927.70,1929.90,3376913,0.00
20-Aug-2025,,1937.00,1952.00,1926.00,1928.40,6962619,0.00
19-Aug-2025,,1901.10,1931.80,1900.00,1909.70,5706265,0.00
18-Aug-2025,,1892.50,1912.60,1870.30,1892.30,7146376,0.00
