Date,Time,Open,High,Low,Close,Quantity,Average
29-Oct-2025,0,1004.90,1012.50,1000.00,1007.85,17769445,1007.89
28-Oct-2025,,997.65,1008.00,995.00,1003.55,33904289,0.00
27-Oct-2025,,996.50,1009.05,996.20,1002.95,15700796,0.00
24-Oct-2025,,1011.00,1011.95,991.30,994.75,17707768,0.00
23-Oct-2025,,1016.00,1020.50,1006.00,1008.80,43526526,0.00
21-Oct-2025,,1006.00,1010.00,1004.00,1007.70,3471600,0.00
20-Oct-2025,,997.00,1020.00,997.00,1002.95,22195202,0.00
17-Oct-2025,,993.95,1009.00,986.00,1002.55,25210511,0.00
16-Oct-2025,,982.65,996.60,981.50,994.35,22936566,0.00
15-Oct-2025,,975.00,984.90,973.35,978.25,23310447,0.00
14-Oct-2025,,970.00,980.45,967.00,977.15,22934382,0.00
13-Oct-2025,,974.30,981.00,972.00,977.00,18634254,0.00
10-Oct-2025,,979.00,986.20,978.10,980.90,13757080,0.00
09-Oct-2025,,974.50,979.00,970.15,977.10,15370950,0.00
08-Oct-2025,,976.00,985.90,974.55,978.70,15939710,0.00
07-Oct-2025,,974.00,989.85,971.00,982.50,25535736,0.00
06-Oct-2025,,971.90,977.40,962.00,973.45,18542683,0.00
03-Oct-2025,,952.00,966.75,952.00,965.15,26658296,0.00
01-Oct-2025,,952.70,969.60,946.00,965.25,25350832,0.00
30-Sep-2025,,958.05,960.00,946.30,951.00,28296687,0.00
29-Sep-2025,,946.05,956.80,939.10,950.30,32398179,0.00
26-Sep-2025,,945.10,951.45,941.30,945.05,14874656,0.00
25-Sep-2025,,952.50,958.00,947.40,949.85,31413279,0.00
24-Sep-2025,,952.20,956.45,943.00,951.05,15117220,0.00
23-Sep-2025,,967.00,968.20,955.50,957.20,21022298,0.00
22-Sep-2025,,964.00,971.20,961.95,964.20,10854415,0.00
19-Sep-2025,,974.90,976.70,962.10,966.90,31243267,0.00
18-Sep-2025,,973.30,979.65,969.25,976.90,17791598,0.00
17-Sep-2025,,965.15,974.40,964.35,966.50,17361476,0.00
16-Sep-2025,,961.20,969.35,961.20,966.85,18661794,0.00
15-Sep-2025,,969.60,972.35,965.00,967.05,14486377,0.00
12-Sep-2025,,969.90,970.75,962.25,967.30,14363519,0.00
11-Sep-2025,,960.30,969.25,959.90,967.80,15113633,0.00
10-Sep-2025,,973.90,973.90,961.70,965.90,18091100,0.00
09-Sep-2025,,974.00,974.40,962.70,965.15,13985539,0.00
08-Sep-2025,,969.00,973.15,960.45,966.00,11711307,0.00
05-Sep-2025,,967.50,967.50,954.05,963.40,11602111,0.00
04-Sep-2025,,960.20,965.70,956.25,961.25,17597657,0.00
03-Sep-2025,,945.00,956.30,940.00,954.45,16083481,0.00
02-Sep-2025,,951.00,954.80,944.00,944.50,14196320,0.00
01-Sep-2025,,949.60,957.45,946.35,950.60,20178344,0.00
29-Aug-2025,,954.00,963.30,950.10,951.60,14823813,0.00
28-Aug-2025,,967.00,972.20,955.00,957.80,25438255,0.00
26-Aug-2025,,979.50,985.70,968.00,973.40,16917731,0.00
25-Aug-2025,,1960.20,1977.40,1957.00,1964.10,8759022,0.00
22-Aug-2025,,1989.90,1996.00,1957.10,1964.60,9916751,0.00
21-Aug-2025,,1997.50,1997.50,1983.20,1991.20,6219925,0.00
20-Aug-2025,,1987.00,1992.00,1979.00,1988.20,4975114,0.00
19-Aug-2025,,1998.30,2006.10,1986.70,1991.10,6176219,0.00
18-Aug-2025,,2010.00,2026.60,1995.60,2003.60,9642398,0.00
14-Aug-2025,,1978.00,1996.00,1971.20,1991.10,8755858,0.00
13-Aug-2025,,1994.00,1994.00,1969.10,1980.30,6788698,0.00
12-Aug-2025,,1991.90,1996.00,1967.50,1969.90,6468901,0.00
11-Aug-2025,,1975.90,1997.60,1973.10,1995.60,4552927,0.00
08-Aug-2025,,1987.10,1992.80,1970.00,1973.90,6947632,0.00
07-Aug-2025,,1980.10,2001.60,1976.80,1995.40,6540593,0.00
06-Aug-2025,,1971.10,1988.00,1970.00,1985.30,7040102,0.00
05-Aug-2025,,1986.50,1994.40,1965.50,1977.60,11989029,0.00
04-Aug-2025,,2010.10,2018.50,1988.10,1992.00,6966973,0.00
01-Aug-2025,,2014.00,2028.30,2009.30,2012.20,5658629,0.00
31-Jul-2025,,2014.60,2031.40,2008.00,2018.20,11091516,0.00
30-Jul-2025,,2028.00,2032.60,2017.00,2025.80,7577018,0.00
29-Jul-2025,,1999.90,2026.50,1996.30,2021.60,9947848,0.00
28-Jul-2025,,2003.00,2021.40,2000.50,2008.50,6029790,0.00
25-Jul-2025,,2015.00,2015.00,1999.00,2004.60,4653299,0.00
24-Jul-2025,,2037.70,2037.70,2008.40,2014.20,9553588,0.00
23-Jul-2025,,2011.00,2029.80,2003.00,2024.30,6817458,0.00
22-Jul-2025,,2013.10,2018.00,2003.00,2007.10,7418407,0.00
21-Jul-2025,,1978.20,2002.00,1976.50,2000.50,11154539,0.00
18-Jul-2025,,1986.90,1997.00,1953.00,1957.40,8064723,0.00
17-Jul-2025,,2004.00,2004.80,1982.70,1986.90,11264579,0.00
16-Jul-2025,,2018.00,2022.70,1992.60,1996.30,8997306,0.00
15-Jul-2025,,1973.00,2003.60,1973.00,1995.50,7249084,0.00
14-Jul-2025,,1983.00,1988.70,1970.60,1983.00,6544425,0.00
