Date,Time,Open,High,Low,Close,Quantity,Average
10-Nov-2025,0,1342.90,1349.60,1341.00,1348.80,6448551,1345.16
07-Nov-2025,,1320.40,1344.30,1318.60,1343.00,7719245,0.00
06-Nov-2025,,1330.00,1342.20,1317.40,1320.40,24221853,0.00
04-Nov-2025,,1342.60,1349.80,1333.20,1336.90,15211183,0.00
03-Nov-2025,,1340.50,1351.60,1337.90,1346.40,11071450,0.00
31-Oct-2025,,1357.00,1362.00,1343.30,1345.30,15926798,0.00
30-Oct-2025,,1362.40,1370.20,1361.30,1362.40,9324401,0.00
29-Oct-2025,,1364.60,1371.70,1358.40,1370.40,16129382,0.00
28-Oct-2025,,1373.00,1375.80,1356.20,1363.10,26477914,0.00
27-Oct-2025,,1382.10,1386.80,1374.00,1377.60,11499836,0.00
24-Oct-2025,,1368.10,1381.60,1368.10,1377.70,10570263,0.00
23-Oct-2025,,1385.00,1389.80,1360.10,1363.70,21124942,0.00
21-Oct-2025,,1384.50,1387.60,1375.90,1382.00,3415560,0.00
20-Oct-2025,,1442.00,1445.00,1389.20,1390.30,23330227,0.00
17-Oct-2025,,1412.00,1439.60,1410.90,1436.60,17037215,0.00
16-Oct-2025,,1401.00,1418.90,1399.40,1417.30,12185032,0.00
15-Oct-2025,,1386.50,1400.40,1385.50,1398.40,8988550,0.00
14-Oct-2025,,1389.00,1389.00,1375.10,1384.10,10610855,0.00
13-Oct-2025,,1373.10,1386.40,1373.10,1379.40,8923018,0.00
10-Oct-2025,,1370.30,1385.00,1370.30,1380.30,7673816,0.00
09-Oct-2025,,1369.80,1378.70,1365.10,1376.20,7909575,0.00
08-Oct-2025,,1372.30,1381.60,1364.30,1370.30,8100832,0.00
07-Oct-2025,,1363.60,1383.10,1363.60,1375.90,16126464,0.00
06-Oct-2025,,1371.00,1372.60,1359.10,1363.40,14314283,0.00
03-Oct-2025,,1371.90,1371.90,1361.30,1365.20,12163695,0.00
01-Oct-2025,,1348.00,1379.40,1347.10,1372.00,20952632,0.00
30-Sep-2025,,1353.70,1356.60,1342.60,1348.00,20166871,0.00
29-Sep-2025,,1359.60,1366.50,1346.20,1348.10,20563163,0.00
26-Sep-2025,,1368.00,1372.70,1357.00,1359.60,18342280,0.00
25-Sep-2025,,1377.00,1391.50,1371.80,1375.80,21613389,0.00
24-Sep-2025,,1386.40,1390.90,1376.50,1382.70,9735678,0.00
23-Sep-2025,,1391.00,1403.30,1391.00,1394.30,12827524,0.00
22-Sep-2025,,1403.90,1409.90,1397.20,1401.50,8847948,0.00
19-Sep-2025,,1416.10,1418.00,1400.20,1402.20,13457344,0.00
18-Sep-2025,,1431.10,1432.80,1415.30,1421.70,8130537,0.00
17-Sep-2025,,1420.10,1426.10,1416.40,1419.20,7484283,0.00
16-Sep-2025,,1414.00,1424.90,1413.70,1421.60,8213151,0.00
15-Sep-2025,,1422.00,1426.80,1416.30,1419.40,5845637,0.00
12-Sep-2025,,1405.10,1419.70,1400.10,1417.70,7770038,0.00
11-Sep-2025,,1398.00,1408.00,1396.00,1401.60,10192026,0.00
10-Sep-2025,,1410.00,1413.70,1402.10,1403.90,7452347,0.00
09-Sep-2025,,1399.00,1407.50,1395.20,1403.70,6470679,0.00
08-Sep-2025,,1402.20,1410.60,1397.60,1402.70,5880943,0.00
05-Sep-2025,,1411.00,1411.50,1387.70,1402.80,6621077,0.00
04-Sep-2025,,1409.90,1415.10,1401.90,1405.50,10564859,0.00
