Date,Time,Open,High,Low,Close,Quantity,Average,STR-1,STR-2,STR-3
29-Oct-2025,0,1500.20,1520.20,1496.90,1510.40,4884976,1510.57,1493.08,1455.66,1539.47
28-Oct-2025,,1499.70,1506.50,1490.50,1500.20,8211019,0.00,1493.08,1455.66,1539.47
27-Oct-2025,,1510.00,1515.30,1498.10,1504.50,7273211,0.00,1493.08,1455.66,1539.47
24-Oct-2025,,1539.50,1543.00,1518.00,1525.40,8652257,0.00,1493.08,1455.66,1539.47
23-Oct-2025,,1510.00,1546.00,1506.00,1528.50,20358624,0.00,1490.78,1455.56,1539.47
21-Oct-2025,,1478.00,1486.00,1470.00,1472.40,1698704,0.00,1472.86,1499.52,1539.47
20-Oct-2025,,1453.70,1467.00,1450.00,1460.90,6994246,0.00,1472.86,1499.52,1539.47
17-Oct-2025,,1454.90,1458.40,1434.00,1441.10,16959378,0.00,1472.86,1499.52,1539.47
16-Oct-2025,,1473.90,1474.50,1460.50,1471.50,8005748,0.00,1491.24,1446.93,1539.47
15-Oct-2025,,1483.90,1488.60,1467.50,1474.40,6986098,0.00,1504.39,1446.93,1539.47
14-Oct-2025,,1499.00,1514.40,1486.50,1489.90,5600789,0.00,1478.59,1446.93,1539.47
13-Oct-2025,,1497.00,1504.70,1483.40,1493.20,5859355,0.00,1478.59,1446.93,1539.47
10-Oct-2025,,1510.00,1521.70,1498.80,1514.90,3738353,0.00,1478.59,1446.93,1539.47
09-Oct-2025,,1502.00,1514.00,1487.00,1509.30,7028753,0.00,1470.40,1440.30,1539.47
08-Oct-2025,,1457.00,1498.00,1455.00,1495.00,4657192,0.00,1447.38,1418.26,1539.47
07-Oct-2025,,1477.70,1482.90,1454.00,1458.50,5570320,0.00,1445.11,1490.11,1539.47
06-Oct-2025,,1446.60,1478.80,1442.30,1476.00,4630590,0.00,1437.29,1490.11,1539.47
03-Oct-2025,,1439.00,1448.30,1433.20,1446.60,6877533,0.00,1465.35,1490.11,1539.47
01-Oct-2025,,1446.00,1449.50,1427.40,1445.80,6250692,0.00,1465.35,1492.25,1546.05
30-Sep-2025,,1443.00,1452.20,1438.10,1441.80,7556305,0.00,1470.59,1496.03,1546.91
29-Sep-2025,,1460.00,1465.00,1436.50,1441.80,10513117,0.00,1477.37,1503.99,1557.23
26-Sep-2025,,1475.00,1478.70,1441.20,1448.90,8597058,0.00,1492.51,1525.07,1590.19
25-Sep-2025,,1489.00,1502.70,1476.50,1484.80,9491867,0.00,1519.68,1549.76,1452.35
24-Sep-2025,,1487.20,1496.70,1482.70,1494.60,4937004,0.00,1521.06,1552.42,1452.35
23-Sep-2025,,1493.00,1513.00,1493.00,1497.50,9832164,0.00,1527.93,1557.51,1452.35
22-Sep-2025,,1482.70,1514.70,1482.00,1499.50,15655204,0.00,1527.93,1557.51,1452.35
19-Sep-2025,,1544.60,1551.30,1520.10,1540.20,12988129,0.00,1523.15,1499.55,1452.35
18-Sep-2025,,1550.00,1555.00,1538.50,1540.60,9331945,0.00,1523.15,1499.55,1452.35
17-Sep-2025,,1516.90,1526.70,1514.00,1522.40,4795698,0.00,1498.05,1475.75,1431.15
16-Sep-2025,,1508.40,1514.00,1503.50,1511.30,8923112,0.00,1493.22,1458.07,1407.39
15-Sep-2025,,1525.60,1527.50,1501.20,1508.40,6167414,0.00,1493.22,1454.44,1397.96
12-Sep-2025,,1537.00,1542.90,1521.10,1525.60,12856963,0.00,1493.22,1454.44,1397.96
11-Sep-2025,,1523.90,1527.50,1506.50,1509.70,8003662,0.00,1482.46,1442.82,1397.96
10-Sep-2025,,1510.10,1534.90,1509.30,1532.60,7281071,0.00,1482.46,1442.82,1397.96
09-Sep-2025,,1481.00,1507.20,1472.50,1504.30,13072640,0.00,1450.55,1411.25,1397.96
08-Sep-2025,,1451.00,1458.00,1428.30,1432.90,3811567,0.00,1472.89,1502.63,1397.96
05-Sep-2025,,1470.00,1472.70,1433.00,1444.60,5466487,0.00,1483.41,1513.97,1397.96
04-Sep-2025,,1484.00,1484.00,1460.10,1463.00,5787724,0.00,1501.51,1459.62,1397.96
03-Sep-2025,,1500.00,1501.90,1473.00,1479.10,4623483,0.00,1515.86,1459.62,1397.96
02-Sep-2025,,1499.40,1512.80,1486.30,1498.70,5218763,0.00,1515.86,1459.62,1397.96
01-Sep-2025,,1476.70,1503.40,1476.20,1499.40,4546057,0.00,1515.86,1459.62,1397.96
29-Aug-2025,,1501.90,1501.90,1467.70,1469.60,8169075,0.00,1515.86,1459.62,1397.96
28-Aug-2025,,1529.60,1529.60,1498.00,1500.10,5443364,0.00,1494.06,1459.62,1397.96
26-Aug-2025,,1523.00,1538.40,1518.60,1529.60,15994798,0.00,1494.06,1459.62,1390.74
25-Aug-2025,,1506.70,1539.00,1506.70,1532.10,10694531,0.00,1489.03,1455.21,1387.57
22-Aug-2025,,1498.10,1504.30,1486.10,1487.50,5543397,0.00,1464.66,1434.12,1507.08
