Date,Time,Open,High,Low,Close,Quantity,Average
10-Nov-2025,0,404.05,407.10,403.65,406.10,4785438,405.84
07-Nov-2025,,406.05,409.10,403.10,404.05,8411611,0.00
06-Nov-2025,,410.00,413.30,406.55,407.50,10095563,0.00
04-Nov-2025,,414.00,414.50,408.35,408.90,10085404,0.00
03-Nov-2025,,419.95,421.65,413.30,413.95,7635440,0.00
31-Oct-2025,,420.50,426.40,418.20,420.35,18599864,0.00
30-Oct-2025,,421.60,421.70,416.15,418.75,12938674,0.00
29-Oct-2025,,418.20,422.20,416.05,421.60,11470661,0.00
28-Oct-2025,,420.50,421.65,415.90,417.90,17163147,0.00
27-Oct-2025,,417.00,422.70,416.60,420.65,11603679,0.00
24-Oct-2025,,415.95,417.95,413.45,416.80,14935678,0.00
23-Oct-2025,,416.00,420.45,413.55,415.95,24305990,0.00
21-Oct-2025,,413.50,413.95,412.35,412.85,1142130,0.00
20-Oct-2025,,412.55,414.85,411.30,413.05,13083621,0.00
17-Oct-2025,,405.35,413.85,405.25,412.15,21071344,0.00
16-Oct-2025,,401.00,406.00,399.55,405.15,22962049,0.00
15-Oct-2025,,398.00,400.85,397.25,399.90,16043867,0.00
14-Oct-2025,,400.00,400.85,396.20,396.80,10291102,0.00
13-Oct-2025,,400.00,400.95,398.55,399.25,9508594,0.00
10-Oct-2025,,400.45,403.85,399.50,402.80,15085738,0.00
09-Oct-2025,,399.00,401.40,398.95,399.90,15656267,0.00
08-Oct-2025,,400.00,401.75,398.00,399.75,8402463,0.00
07-Oct-2025,,402.50,402.60,399.50,399.80,12298968,0.00
06-Oct-2025,,403.00,403.90,399.80,400.75,13989077,0.00
03-Oct-2025,,404.90,405.50,402.30,404.30,16987141,0.00
01-Oct-2025,,402.35,406.00,399.75,405.60,17643039,0.00
30-Sep-2025,,406.75,406.75,400.40,401.55,9465490,0.00
29-Sep-2025,,406.90,408.00,403.20,407.25,19717660,0.00
26-Sep-2025,,400.10,405.90,399.80,405.10,14414044,0.00
25-Sep-2025,,401.45,403.00,398.00,400.10,22006368,0.00
24-Sep-2025,,403.20,404.65,400.70,401.00,12380865,0.00
23-Sep-2025,,407.10,408.10,402.10,403.20,14936357,0.00
22-Sep-2025,,410.65,411.00,406.05,406.95,8930779,0.00
19-Sep-2025,,411.55,412.60,408.95,410.65,19505321,0.00
18-Sep-2025,,411.35,413.05,410.10,411.55,15647808,0.00
17-Sep-2025,,413.95,414.60,408.05,409.30,14113882,0.00
16-Sep-2025,,413.20,414.35,412.00,413.10,8239087,0.00
15-Sep-2025,,413.05,414.30,411.75,412.65,5707331,0.00
12-Sep-2025,,415.35,417.05,412.85,413.75,7803379,0.00
11-Sep-2025,,413.05,416.70,412.45,415.05,8274406,0.00
10-Sep-2025,,411.00,413.70,408.95,413.05,9252397,0.00
09-Sep-2025,,408.50,410.95,407.40,410.05,8825896,0.00
08-Sep-2025,,407.45,410.55,406.80,407.55,7419022,0.00
05-Sep-2025,,416.90,417.00,404.40,407.35,16000675,0.00
04-Sep-2025,,423.95,427.00,415.00,415.90,27274123,0.00
03-Sep-2025,,408.50,413.25,407.30,411.75,12936588,0.00
02-Sep-2025,,406.55,407.85,404.45,406.75,19808255,0.00
01-Sep-2025,,409.75,410.20,405.00,405.85,12268090,0.00
29-Aug-2025,,402.00,410.45,401.90,409.75,25255050,0.00
28-Aug-2025,,404.50,404.50,400.00,400.90,12471719,0.00
26-Aug-2025,,399.30,405.40,398.40,403.35,13715752,0.00
25-Aug-2025,,399.00,400.55,396.25,399.35,10440286,0.00
22-Aug-2025,,406.00,406.50,397.50,398.30,13087624,0.00
21-Aug-2025,,406.05,406.85,403.35,405.55,15028966,0.00
20-Aug-2025,,409.10,410.25,405.45,406.05,18188129,0.00
19-Aug-2025,,406.35,409.40,404.50,409.10,16681331,0.00
18-Aug-2025,,413.00,413.70,404.85,406.30,30950814,0.00
14-Aug-2025,,414.25,415.05,411.00,411.45,9580361,0.00
13-Aug-2025,,417.20,417.50,413.60,414.10,10874910,0.00
12-Aug-2025,,417.00,419.80,415.30,416.35,13635738,0.00
11-Aug-2025,,414.50,417.00,414.00,416.85,8514272,0.00
08-Aug-2025,,413.90,415.35,412.95,414.50,9814361,0.00
07-Aug-2025,,412.00,414.75,411.65,413.60,11514878,0.00
06-Aug-2025,,414.15,415.00,410.50,412.00,9080543,0.00
05-Aug-2025,,417.20,417.95,413.00,414.15,8495104,0.00
04-Aug-2025,,420.20,422.50,415.10,416.85,18352458,0.00
01-Aug-2025,,412.40,419.35,411.80,416.45,14324065,0.00
31-Jul-2025,,405.95,414.00,405.55,411.95,19364174,0.00
30-Jul-2025,,409.00,409.30,405.75,407.60,10915863,0.00
29-Jul-2025,,410.00,411.40,408.00,408.45,6811772,0.00
28-Jul-2025,,410.80,410.85,408.60,409.90,8123337,0.00
25-Jul-2025,,410.00,410.25,407.75,409.40,5824089,0.00
