Date,Time,Open,High,Low,Close,Quantity,Average
10-Nov-2025,0,3895.00,3943.80,3894.00,3929.50,1157936,3927.59
07-Nov-2025,,3877.10,3892.90,3831.10,3882.50,1577294,0.00
06-Nov-2025,,3945.00,3978.00,3872.10,3881.60,1749063,0.00
04-Nov-2025,,3985.00,3990.00,3916.80,3924.40,2042881,0.00
03-Nov-2025,,4030.00,4041.00,3974.90,3980.50,1154072,0.00
31-Oct-2025,,4001.10,4045.90,3980.20,4030.90,2328183,0.00
30-Oct-2025,,3980.00,4062.60,3975.60,3987.50,4959400,0.00
29-Oct-2025,,3988.00,4016.70,3920.00,3958.10,2563641,0.00
28-Oct-2025,,3922.10,3986.00,3917.30,3972.80,3391806,0.00
27-Oct-2025,,3912.00,3948.00,3907.00,3923.80,1057688,0.00
24-Oct-2025,,3929.30,3939.90,3897.50,3904.90,1146636,0.00
23-Oct-2025,,3890.00,3966.20,3890.00,3918.70,2815778,0.00
21-Oct-2025,,3892.00,3895.00,3877.20,3888.20,260327,0.00
20-Oct-2025,,3862.00,3887.60,3845.40,3872.70,1223232,0.00
17-Oct-2025,,3860.00,3869.50,3830.10,3839.40,1337364,0.00
16-Oct-2025,,3830.30,3885.90,3830.00,3861.80,2330283,0.00
15-Oct-2025,,3747.00,3843.90,3744.30,3828.70,2575918,0.00
14-Oct-2025,,3775.00,3786.80,3730.20,3744.30,1364583,0.00
13-Oct-2025,,3780.00,3784.00,3745.00,3769.50,1191248,0.00
10-Oct-2025,,3765.00,3799.00,3760.00,3784.00,1129678,0.00
09-Oct-2025,,3735.50,3796.40,3730.10,3769.20,1827249,0.00
08-Oct-2025,,3730.00,3760.00,3715.00,3729.80,1424633,0.00
07-Oct-2025,,3748.00,3766.00,3725.00,3729.70,1673945,0.00
06-Oct-2025,,3720.00,3767.00,3703.00,3737.00,1581506,0.00
03-Oct-2025,,3690.00,3746.00,3666.30,3733.10,1959124,0.00
01-Oct-2025,,3658.90,3688.00,3615.00,3670.30,2005028,0.00
30-Sep-2025,,3695.00,3696.60,3648.00,3659.00,1676302,0.00
29-Sep-2025,,3738.00,3740.00,3679.60,3688.40,2599630,0.00
26-Sep-2025,,3664.00,3794.90,3661.00,3729.50,5870301,0.00
25-Sep-2025,,3684.00,3704.00,3635.70,3644.40,1999071,0.00
24-Sep-2025,,3657.60,3709.20,3637.10,3673.80,1745130,0.00
