Date,Time,Open,High,Low,Close,Quantity,Average,STR-1,STR-2,STR-3
29-Oct-2025,0,1490.00,1508.30,1488.10,1504.20,11884709,1502.66,1472.94,1447.68,1397.16
28-Oct-2025,,1484.10,1492.00,1477.60,1486.90,17631577,0.00,1461.02,1437.24,1389.68
27-Oct-2025,,1463.00,1485.00,1458.00,1484.10,14113867,0.00,1440.30,1413.60,1360.20
24-Oct-2025,,1450.00,1459.80,1441.00,1451.60,9700837,0.00,1440.30,1413.60,1360.20
23-Oct-2025,,1475.00,1482.90,1444.60,1448.40,18707090,0.00,1440.30,1413.60,1360.20
21-Oct-2025,,1468.00,1474.00,1460.00,1465.20,2066169,0.00,1440.30,1413.60,1360.20
20-Oct-2025,,1440.00,1473.80,1433.30,1466.80,24721978,0.00,1426.07,1398.59,1343.63
17-Oct-2025,,1401.00,1423.30,1399.10,1416.80,19335561,0.00,1392.34,1373.48,1430.33
16-Oct-2025,,1375.10,1400.50,1375.00,1398.30,12315932,0.00,1371.31,1354.87,1430.33
15-Oct-2025,,1383.00,1384.00,1372.70,1374.30,10882743,0.00,1389.71,1397.29,1430.33
14-Oct-2025,,1380.00,1388.00,1370.10,1375.90,9768174,0.00,1389.71,1397.29,1430.33
13-Oct-2025,,1376.90,1377.70,1367.80,1375.00,7600682,0.00,1389.71,1397.29,1430.33
10-Oct-2025,,1377.80,1388.00,1375.10,1381.70,6373084,0.00,1392.77,1397.29,1430.33
09-Oct-2025,,1374.00,1380.00,1369.10,1377.80,8826633,0.00,1392.77,1397.29,1430.33
08-Oct-2025,,1384.80,1389.00,1364.50,1367.40,8525081,0.00,1395.63,1397.29,1430.33
07-Oct-2025,,1376.00,1395.90,1375.90,1384.80,11244040,0.00,1369.06,1397.29,1430.33
06-Oct-2025,,1360.00,1377.40,1359.00,1375.00,12396580,0.00,1380.77,1397.29,1430.33
03-Oct-2025,,1363.20,1371.60,1356.90,1363.40,12842347,0.00,1380.77,1397.29,1430.33
01-Oct-2025,,1367.00,1378.60,1362.70,1368.70,12045916,0.00,1386.57,1403.19,1436.43
30-Sep-2025,,1377.10,1377.10,1362.80,1364.00,14604684,0.00,1386.57,1403.19,1436.43
29-Sep-2025,,1381.60,1389.00,1368.00,1372.80,14231999,0.00,1392.09,1409.83,1438.41
26-Sep-2025,,1372.00,1382.70,1366.00,1377.60,9879109,0.00,1392.09,1409.83,1438.41
25-Sep-2025,,1381.30,1384.50,1369.00,1372.40,11411143,0.00,1393.83,1410.91,1438.41
24-Sep-2025,,1385.30,1396.00,1380.40,1383.00,5922759,0.00,1401.20,1416.50,1438.41
23-Sep-2025,,1391.00,1395.00,1376.80,1389.80,14014702,0.00,1401.20,1416.50,1438.41
22-Sep-2025,,1403.90,1410.70,1388.00,1390.60,7757970,0.00,1412.97,1426.59,1438.41
19-Sep-2025,,1414.90,1417.00,1403.60,1407.40,13461373,0.00,1404.35,1392.35,1438.41
18-Sep-2025,,1420.40,1422.00,1410.70,1415.00,9332642,0.00,1404.35,1392.35,1438.41
17-Sep-2025,,1407.00,1416.20,1406.90,1413.80,7519417,0.00,1399.71,1387.87,1438.41
16-Sep-2025,,1404.70,1408.00,1398.20,1405.30,8686961,0.00,1390.56,1407.23,1438.41
