Date,Time,Open,High,Low,Close,Quantity,Average
10-Nov-2025,0,956.00,963.20,949.10,952.00,5464785,953.19
07-Nov-2025,,958.75,964.85,944.00,955.85,13371323,0.00
06-Nov-2025,,969.65,971.40,955.30,960.75,23088096,0.00
04-Nov-2025,,951.00,959.30,941.50,957.60,19154518,0.00
03-Nov-2025,,938.75,953.40,937.50,949.70,11744735,0.00
31-Oct-2025,,934.90,946.70,930.25,937.00,12078252,0.00
30-Oct-2025,,939.45,944.90,933.05,934.35,13044473,0.00
29-Oct-2025,,933.90,942.05,930.25,939.75,12314222,0.00
28-Oct-2025,,927.10,935.85,917.70,930.25,22066289,0.00
27-Oct-2025,,906.95,928.00,906.00,922.75,9150761,0.00
24-Oct-2025,,910.95,914.10,900.95,904.50,5313227,0.00
23-Oct-2025,,912.00,918.00,904.80,911.55,13382769,0.00
21-Oct-2025,,908.00,910.00,906.40,907.85,1783576,0.00
20-Oct-2025,,894.60,913.65,891.05,907.50,13546463,0.00
17-Oct-2025,,887.50,894.75,883.00,889.15,8511854,0.00
16-Oct-2025,,888.30,891.85,882.45,886.95,8493686,0.00
15-Oct-2025,,878.10,887.50,877.05,886.10,8269225,0.00
14-Oct-2025,,883.00,884.15,872.10,876.95,7681973,0.00
13-Oct-2025,,879.00,888.10,876.00,882.95,11923143,0.00
10-Oct-2025,,862.10,883.75,861.30,880.65,13713015,0.00
09-Oct-2025,,861.60,865.80,858.10,862.10,7020501,0.00
08-Oct-2025,,866.80,867.80,857.25,858.25,7156112,0.00
07-Oct-2025,,874.15,877.00,863.00,864.70,9242580,0.00
06-Oct-2025,,868.00,875.30,862.80,874.05,7820352,0.00
03-Oct-2025,,865.15,873.00,863.80,867.30,8019442,0.00
01-Oct-2025,,872.30,876.45,862.80,864.10,10832384,0.00
30-Sep-2025,,869.95,877.60,867.60,872.45,12831593,0.00
29-Sep-2025,,858.05,873.50,856.00,870.75,22641712,0.00
26-Sep-2025,,862.00,864.35,853.00,856.95,6959545,0.00
25-Sep-2025,,866.55,870.15,859.95,861.15,8678821,0.00
24-Sep-2025,,876.00,880.50,864.45,866.20,12840160,0.00
23-Sep-2025,,854.60,874.25,851.20,870.60,14357863,0.00
22-Sep-2025,,862.00,868.20,854.00,855.25,6594034,0.00
19-Sep-2025,,852.00,864.45,849.30,862.35,15206426,0.00
18-Sep-2025,,858.65,860.80,851.10,854.35,10400847,0.00
17-Sep-2025,,834.30,858.15,831.00,857.15,17243938,0.00
16-Sep-2025,,825.10,833.00,821.65,831.55,9467531,0.00
15-Sep-2025,,823.55,827.80,821.10,824.75,3852494,0.00
12-Sep-2025,,824.10,825.80,819.80,823.55,5078018,0.00
11-Sep-2025,,819.10,825.70,819.00,823.65,7425055,0.00
10-Sep-2025,,812.00,824.60,810.40,818.20,7285853,0.00
09-Sep-2025,,812.00,812.35,805.60,808.85,4567272,0.00
08-Sep-2025,,808.00,813.85,806.80,808.80,4614227,0.00
05-Sep-2025,,811.50,812.50,803.65,806.60,5194842,0.00
04-Sep-2025,,814.65,816.75,808.00,809.40,4471950,0.00
03-Sep-2025,,804.30,813.30,803.00,812.15,4261589,0.00
02-Sep-2025,,806.30,810.50,802.65,803.90,5075460,0.00
01-Sep-2025,,803.10,808.30,802.65,806.05,5619805,0.00
29-Aug-2025,,800.70,806.70,798.50,802.50,6861440,0.00
28-Aug-2025,,807.25,811.00,800.65,801.95,7898436,0.00
26-Aug-2025,,814.85,815.85,806.75,807.85,6997817,0.00
25-Aug-2025,,817.45,820.50,814.20,816.45,5672898,0.00
22-Aug-2025,,824.00,826.00,815.70,816.25,5097647,0.00
21-Aug-2025,,828.95,833.25,824.05,825.70,4402511,0.00
20-Aug-2025,,828.70,831.90,827.40,828.95,4493888,0.00
19-Aug-2025,,827.50,831.00,825.80,830.40,5076681,0.00
18-Aug-2025,,836.00,838.00,825.15,827.65,6138124,0.00
14-Aug-2025,,822.00,828.00,819.10,826.55,7087573,0.00
13-Aug-2025,,822.65,824.95,820.65,821.85,4447508,0.00
12-Aug-2025,,824.95,825.50,820.00,820.60,7986728,0.00
11-Aug-2025,,808.00,825.00,808.00,823.45,15236297,0.00
08-Aug-2025,,805.00,807.80,790.00,804.30,15708181,0.00
07-Aug-2025,,801.10,806.65,793.40,805.15,7091392,0.00
06-Aug-2025,,800.95,810.20,799.00,805.15,7409396,0.00
05-Aug-2025,,798.00,804.05,796.30,800.60,7381537,0.00
04-Aug-2025,,794.50,797.20,786.55,795.70,8820724,0.00
01-Aug-2025,,795.70,801.00,792.00,794.00,15468391,0.00
31-Jul-2025,,795.10,803.80,792.55,796.55,11359112,0.00
30-Jul-2025,,798.95,803.40,796.20,801.65,8743723,0.00
29-Jul-2025,,796.20,800.00,793.10,799.20,7833759,0.00
28-Jul-2025,,806.55,808.95,796.00,797.15,7734158,0.00
25-Jul-2025,,815.00,819.20,805.50,806.55,6734439,0.00
24-Jul-2025,,820.00,821.95,810.65,815.70,10118309,0.00
23-Jul-2025,,812.50,825.20,811.50,820.65,15470390,0.00
22-Jul-2025,,827.50,828.05,814.00,815.00,7851163,0.00
21-Jul-2025,,823.00,827.35,817.95,824.20,8852594,0.00
18-Jul-2025,,832.00,832.65,820.25,823.35,15387801,0.00
17-Jul-2025,,838.40,842.50,826.35,829.00,23073718,0.00
16-Jul-2025,,816.00,834.20,815.30,831.70,16458920,0.00
15-Jul-2025,,811.00,821.00,810.50,816.45,9297645,0.00
14-Jul-2025,,809.80,815.50,808.00,808.85,6938635,0.00
11-Jul-2025,,807.55,812.55,804.55,808.65,6202372,0.00
10-Jul-2025,,811.30,815.50,806.90,808.00,12178137,0.00
09-Jul-2025,,810.00,812.45,809.00,810.95,4099112,0.00
08-Jul-2025,,807.90,813.55,805.35,812.65,5935770,0.00
07-Jul-2025,,811.20,812.65,805.15,806.85,4461783,0.00
04-Jul-2025,,808.75,813.85,804.10,811.85,4319538,0.00
03-Jul-2025,,813.50,814.50,805.80,807.10,7020403,0.00
02-Jul-2025,,821.00,824.05,809.00,812.90,6661200,0.00
01-Jul-2025,,820.00,824.90,813.25,820.30,11456405,0.00
30-Jun-2025,,809.00,821.00,807.05,820.35,19652607,0.00
27-Jun-2025,,805.00,809.45,802.65,805.40,19375990,0.00
26-Jun-2025,,802.00,803.35,791.40,797.05,24704402,0.00
25-Jun-2025,,799.50,803.80,796.10,800.05,6528324,0.00
24-Jun-2025,,799.00,806.65,793.65,795.40,11402190,0.00
23-Jun-2025,,790.00,794.95,788.50,790.20,5549253,0.00
20-Jun-2025,,787.50,799.45,786.10,796.15,11367669,0.00
19-Jun-2025,,792.35,793.25,781.70,785.10,11824333,0.00
18-Jun-2025,,792.50,795.50,788.35,791.90,5710169,0.00
17-Jun-2025,,794.00,798.85,790.55,792.30,7753156,0.00
16-Jun-2025,,792.50,795.40,786.15,792.50,8085001,0.00
13-Jun-2025,,786.25,796.30,786.25,792.35,11377117,0.00
12-Jun-2025,,816.00,816.50,801.20,805.95,13448521,0.00
11-Jun-2025,,817.00,820.60,813.05,815.05,7197825,0.00
10-Jun-2025,,821.00,822.05,814.60,817.05,6560513,0.00
09-Jun-2025,,817.40,824.50,815.70,820.05,12793040,0.00
06-Jun-2025,,806.65,816.45,803.10,813.05,17163935,0.00
05-Jun-2025,,808.70,811.70,802.85,806.00,13595507,0.00
04-Jun-2025,,817.00,817.00,805.25,806.50,9607927,0.00
03-Jun-2025,,816.20,818.40,805.15,809.80,14247597,0.00
02-Jun-2025,,812.85,822.55,809.20,813.65,26891575,0.00
30-May-2025,,798.00,814.50,792.60,812.30,22037314,0.00
29-May-2025,,799.00,800.40,791.35,797.35,14034127,0.00
28-May-2025,,794.50,798.90,792.65,796.55,6873519,0.00
27-May-2025,,794.40,801.35,790.05,793.70,11995043,0.00
26-May-2025,,792.00,797.55,789.20,794.40,4965466,0.00
23-May-2025,,787.90,794.95,786.20,790.50,5534158,0.00
22-May-2025,,788.00,788.20,780.30,785.25,7355826,0.00
21-May-2025,,787.00,791.00,779.10,787.10,8206040,0.00
20-May-2025,,798.15,799.40,783.80,785.65,11324667,0.00
19-May-2025,,792.10,801.40,792.10,795.00,10666184,0.00
16-May-2025,,804.00,804.00,791.00,792.10,14733924,0.00
15-May-2025,,804.45,809.45,794.50,807.75,17058854,0.00
14-May-2025,,805.75,807.50,796.30,800.70,9281719,0.00
13-May-2025,,798.60,807.65,797.20,801.75,13909596,0.00
12-May-2025,,799.00,803.90,793.00,801.65,15096824,0.00
09-May-2025,,756.50,781.70,755.50,779.25,13578216,0.00
08-May-2025,,779.00,786.50,764.00,769.00,14491673,0.00
07-May-2025,,765.30,782.40,764.55,776.10,15586266,0.00
06-May-2025,,793.95,799.15,771.10,774.10,18869468,0.00
05-May-2025,,782.00,799.00,782.00,790.00,23986447,0.00
02-May-2025,,790.35,803.40,789.00,800.00,17199386,0.00
30-Apr-2025,,811.50,811.50,784.50,788.65,25635764,0.00
29-Apr-2025,,820.00,829.00,809.00,812.55,11283059,0.00
28-Apr-2025,,798.65,822.80,797.40,817.35,11317611,0.00
25-Apr-2025,,815.00,819.00,787.00,798.65,13131038,0.00
24-Apr-2025,,812.75,819.00,811.15,813.40,12713521,0.00
23-Apr-2025,,826.00,831.00,810.10,813.45,12104382,0.00
22-Apr-2025,,821.15,835.50,814.00,822.40,25117557,0.00
21-Apr-2025,,803.00,824.35,801.40,816.70,16398507,0.00
17-Apr-2025,,772.00,801.00,767.15,797.45,27034818,0.00
16-Apr-2025,,763.50,774.75,760.50,771.75,12536694,0.00
15-Apr-2025,,770.00,770.70,757.10,763.50,7859090,0.00
11-Apr-2025,,759.00,759.70,746.00,753.85,9360327,0.00
09-Apr-2025,,767.00,767.95,741.00,742.20,11319387,0.00
08-Apr-2025,,760.00,774.00,758.15,768.60,12911288,0.00
07-Apr-2025,,730.00,753.70,730.00,746.90,14923235,0.00
04-Apr-2025,,779.10,782.90,765.00,767.45,8231194,0.00
03-Apr-2025,,770.00,784.70,769.95,779.20,7956680,0.00
02-Apr-2025,,772.30,777.00,764.30,775.95,5458436,0.00
01-Apr-2025,,766.80,782.75,763.20,771.70,7011125,0.00
28-Mar-2025,,772.10,778.60,767.00,771.50,7628185,0.00
27-Mar-2025,,763.80,775.80,760.50,772.30,15648616,0.00
26-Mar-2025,,772.00,776.05,761.45,764.00,7711852,0.00
25-Mar-2025,,783.90,786.00,769.20,772.85,15190143,0.00
24-Mar-2025,,758.00,782.95,755.10,780.80,12095064,0.00
21-Mar-2025,,749.95,755.60,747.00,753.20,9577327,0.00
20-Mar-2025,,748.00,752.70,744.20,749.55,6963197,0.00
19-Mar-2025,,739.60,749.30,739.10,745.10,7604850,0.00
