Date,Time,Open,High,Low,Close,Quantity,Average
10-Nov-2025,0,2993.00,3047.90,2992.00,3033.90,1211562,3021.27
07-Nov-2025,,3001.00,3004.00,2960.50,2991.80,1830520,0.00
06-Nov-2025,,2990.10,3024.00,2990.00,3010.90,2542721,0.00
04-Nov-2025,,3019.60,3029.30,2976.00,2990.20,2670720,0.00
03-Nov-2025,,3046.90,3058.00,3010.00,3016.80,2194877,0.00
31-Oct-2025,,3035.00,3067.40,3025.10,3058.00,1868085,0.00
30-Oct-2025,,3049.10,3063.80,3032.80,3035.30,2241536,0.00
29-Oct-2025,,3057.90,3076.00,3046.10,3057.60,2895420,0.00
28-Oct-2025,,3076.00,3090.20,3040.20,3057.90,3470737,0.00
27-Oct-2025,,3066.50,3094.20,3060.20,3084.90,1946312,0.00
24-Oct-2025,,3080.00,3090.00,3058.30,3063.20,2684318,0.00
23-Oct-2025,,3055.00,3098.00,3036.10,3073.20,5564758,0.00
21-Oct-2025,,3031.10,3031.80,2996.00,3006.70,310644,0.00
20-Oct-2025,,2985.50,3023.00,2978.50,3015.20,3133039,0.00
17-Oct-2025,,2970.00,2988.80,2955.40,2962.20,4374683,0.00
16-Oct-2025,,2969.90,2975.00,2943.10,2970.70,3251495,0.00
15-Oct-2025,,2971.00,2979.70,2951.00,2969.80,4282226,0.00
14-Oct-2025,,3021.00,3027.20,2955.50,2960.30,3611416,0.00
13-Oct-2025,,3027.00,3035.50,2998.20,3007.20,2866865,0.00
10-Oct-2025,,3050.00,3070.00,3006.90,3028.30,8817365,0.00
09-Oct-2025,,3034.00,3066.00,3020.00,3061.70,3211304,0.00
08-Oct-2025,,2975.00,3043.00,2968.00,3027.20,4121889,0.00
07-Oct-2025,,2995.00,3004.50,2955.50,2973.70,3062943,0.00
06-Oct-2025,,2902.00,2993.60,2895.60,2988.40,2112774,0.00
03-Oct-2025,,2924.00,2924.00,2891.10,2901.90,2899519,0.00
01-Oct-2025,,2891.00,2924.80,2866.60,2914.20,1952902,0.00
30-Sep-2025,,2911.00,2915.30,2885.10,2888.40,2253458,0.00
29-Sep-2025,,2916.00,2929.30,2894.00,2896.10,3110035,0.00
26-Sep-2025,,2941.00,2954.80,2891.30,2899.10,3934636,0.00
25-Sep-2025,,3022.00,3029.60,2951.00,2957.40,4974361,0.00
24-Sep-2025,,3050.00,3057.00,3033.00,3035.40,1625714,0.00
23-Sep-2025,,3070.00,3080.70,3052.00,3062.40,3177741,0.00
22-Sep-2025,,3095.00,3106.90,3065.00,3073.80,3634901,0.00
19-Sep-2025,,3170.00,3180.50,3144.00,3169.20,4901694,0.00
18-Sep-2025,,3185.00,3203.00,3161.40,3176.70,2633138,0.00
17-Sep-2025,,3152.00,3182.40,3142.40,3172.80,2418271,0.00
16-Sep-2025,,3128.00,3150.00,3109.10,3145.70,2573429,0.00
15-Sep-2025,,3134.00,3134.00,3096.00,3111.90,1732539,0.00
12-Sep-2025,,3144.00,3148.70,3121.00,3133.40,1447167,0.00
11-Sep-2025,,3139.00,3139.00,3110.10,3124.20,2263446,0.00
10-Sep-2025,,3056.40,3122.70,3053.40,3110.00,2079428,0.00
09-Sep-2025,,3032.10,3060.00,3030.80,3049.40,2489301,0.00
08-Sep-2025,,3050.00,3064.90,3016.00,3019.00,2626187,0.00
05-Sep-2025,,3097.10,3103.40,3028.60,3048.30,2802055,0.00
04-Sep-2025,,3116.00,3118.00,3090.80,3095.70,1481391,0.00
03-Sep-2025,,3129.90,3141.90,3088.00,3097.50,1799774,0.00
02-Sep-2025,,3121.10,3155.00,3103.10,3111.50,2185229,0.00
01-Sep-2025,,3090.00,3131.10,3090.00,3112.60,1246862,0.00
29-Aug-2025,,3093.00,3115.00,3077.20,3084.70,2271789,0.00
28-Aug-2025,,3145.00,3146.50,3086.50,3093.70,3116051,0.00
26-Aug-2025,,3129.00,3162.00,3120.00,3157.20,5522097,0.00
25-Aug-2025,,3087.30,3152.00,3077.10,3140.60,3448370,0.00
22-Aug-2025,,3086.00,3095.70,3050.00,3054.00,1593791,0.00
21-Aug-2025,,3130.00,3130.00,3083.10,3102.60,3230726,0.00
20-Aug-2025,,3010.90,3103.40,3010.90,3098.60,4952358,0.00
19-Aug-2025,,3011.20,3025.00,3011.10,3016.20,2650784,0.00
18-Aug-2025,,3046.50,3049.00,3003.40,3011.20,2945609,0.00
14-Aug-2025,,3034.00,3055.90,3019.10,3022.30,3342174,0.00
13-Aug-2025,,3036.10,3044.40,3028.60,3036.20,2148166,0.00
12-Aug-2025,,3041.00,3096.40,3026.90,3035.40,3358232,0.00
11-Aug-2025,,3036.40,3049.90,3021.30,3040.80,1884215,0.00
08-Aug-2025,,3048.10,3059.80,3025.00,3036.40,2762140,0.00
07-Aug-2025,,3016.00,3051.60,3010.90,3047.00,2543076,0.00
06-Aug-2025,,3063.00,3066.80,3026.00,3032.30,1487081,0.00
05-Aug-2025,,3074.40,3077.50,3042.00,3063.90,1927996,0.00
04-Aug-2025,,3009.10,3079.40,2991.60,3074.40,2519252,0.00
01-Aug-2025,,3029.90,3036.80,3000.00,3003.00,2053847,0.00
31-Jul-2025,,3041.70,3059.80,3015.00,3036.80,2968371,0.00
30-Jul-2025,,3060.00,3069.00,3047.20,3053.60,2880121,0.00
29-Jul-2025,,3060.00,3074.00,3041.20,3056.00,4785312,0.00
28-Jul-2025,,3110.00,3118.00,3069.90,3079.30,3374473,0.00
25-Jul-2025,,3140.00,3156.90,3125.60,3135.80,2568917,0.00
24-Jul-2025,,3165.10,3173.70,3140.00,3148.00,2934778,0.00
23-Jul-2025,,3159.60,3182.00,3157.60,3179.10,1922875,0.00
22-Jul-2025,,3159.60,3180.10,3154.60,3159.60,3198036,0.00
21-Jul-2025,,3190.00,3197.60,3152.00,3158.20,3844346,0.00
18-Jul-2025,,3225.00,3228.80,3187.00,3189.90,3432645,0.00
17-Jul-2025,,3224.10,3242.00,3204.10,3209.20,2947640,0.00
16-Jul-2025,,3227.00,3244.90,3220.60,3233.10,2540733,0.00
15-Jul-2025,,3206.00,3259.40,3206.00,3252.30,2590889,0.00
14-Jul-2025,,3266.00,3272.00,3200.00,3222.70,3924009,0.00
11-Jul-2025,,3299.90,3335.00,3261.10,3266.00,7635550,0.00
10-Jul-2025,,3380.00,3399.00,3356.00,3382.00,3035012,0.00
09-Jul-2025,,3410.00,3414.00,3367.00,3383.80,2034938,0.00
08-Jul-2025,,3405.00,3425.00,3393.40,3406.20,2325242,0.00
07-Jul-2025,,3418.30,3426.10,3408.40,3411.70,1639174,0.00
04-Jul-2025,,3408.00,3427.00,3390.10,3419.80,1109320,0.00
03-Jul-2025,,3430.00,3435.30,3397.60,3400.80,2531870,0.00
02-Jul-2025,,3487.20,3489.90,3420.00,3423.30,3090585,0.00
01-Jul-2025,,3455.00,3485.00,3413.50,3429.70,2375183,0.00
30-Jun-2025,,3439.90,3464.90,3430.00,3462.00,1468351,0.00
27-Jun-2025,,3455.00,3466.40,3431.00,3441.10,1778433,0.00
26-Jun-2025,,3444.80,3451.40,3415.30,3441.80,2879106,0.00
25-Jun-2025,,3407.30,3450.00,3400.00,3444.80,1757699,0.00
24-Jun-2025,,3434.60,3442.10,3382.00,3390.40,3403048,0.00
23-Jun-2025,,3415.00,3425.00,3370.00,3393.60,3123421,0.00
20-Jun-2025,,3425.00,3446.30,3410.90,3435.70,2351248,0.00
19-Jun-2025,,3450.00,3451.00,3413.00,3424.00,2672768,0.00
18-Jun-2025,,3519.10,3538.00,3443.10,3451.40,2696327,0.00
17-Jun-2025,,3510.00,3520.00,3488.10,3515.30,2111940,0.00
16-Jun-2025,,3440.00,3509.00,3426.20,3496.30,1934088,0.00
13-Jun-2025,,3393.20,3450.50,3393.20,3445.70,2178493,0.00
12-Jun-2025,,3471.90,3474.70,3423.20,3434.20,4060134,0.00
11-Jun-2025,,3470.00,3489.00,3449.10,3471.90,2847013,0.00
10-Jun-2025,,3440.00,3485.80,3423.20,3462.90,2419874,0.00
09-Jun-2025,,3400.00,3434.00,3390.90,3421.90,1718678,0.00
06-Jun-2025,,3371.10,3390.90,3358.70,3384.20,2070390,0.00
05-Jun-2025,,3409.00,3409.00,3363.70,3371.10,3584683,0.00
04-Jun-2025,,3389.00,3394.80,3370.00,3380.90,2544807,0.00
03-Jun-2025,,3446.00,3473.50,3400.50,3405.20,2848125,0.00
02-Jun-2025,,3450.00,3460.00,3418.60,3449.80,1877585,0.00
30-May-2025,,3490.00,3506.70,3453.10,3463.40,3404365,0.00
29-May-2025,,3504.70,3532.50,3486.50,3498.10,3188072,0.00
28-May-2025,,3520.00,3529.00,3493.00,3497.70,1222933,0.00
27-May-2025,,3532.00,3540.00,3483.10,3498.70,2467680,0.00
26-May-2025,,3521.00,3545.00,3510.10,3537.30,967470,0.00
23-May-2025,,3477.00,3535.00,3465.60,3514.60,1274331,0.00
22-May-2025,,3495.00,3497.80,3451.30,3477.00,2034383,0.00
21-May-2025,,3508.00,3537.00,3498.30,3525.80,1440153,0.00
20-May-2025,,3531.80,3558.00,3494.00,3498.30,2038374,0.00
19-May-2025,,3550.00,3550.00,3503.70,3518.80,2537377,0.00
16-May-2025,,3593.90,3593.90,3546.10,3561.30,1666727,0.00
15-May-2025,,3564.00,3600.00,3514.10,3579.90,3548330,0.00
14-May-2025,,3521.00,3561.00,3508.60,3548.70,2119499,0.00
13-May-2025,,3620.40,3623.00,3510.50,3515.00,3062887,0.00
12-May-2025,,3505.00,3630.50,3502.20,3620.40,2228678,0.00
09-May-2025,,3399.00,3446.20,3398.10,3440.30,2531757,0.00
08-May-2025,,3448.00,3477.00,3428.70,3448.90,2543591,0.00
07-May-2025,,3420.60,3459.50,3420.60,3445.10,1477128,0.00
06-May-2025,,3460.00,3473.00,3437.00,3460.00,1324763,0.00
05-May-2025,,3450.00,3504.50,3446.40,3454.30,1284443,0.00
02-May-2025,,3472.00,3491.50,3420.00,3444.70,2115624,0.00
30-Apr-2025,,3472.00,3509.90,3366.00,3453.70,2809332,0.00
29-Apr-2025,,3455.00,3495.00,3430.40,3472.50,1578332,0.00
28-Apr-2025,,3435.00,3457.80,3405.00,3443.50,1593296,0.00
25-Apr-2025,,3420.00,3477.80,3405.00,3448.00,2742991,0.00
24-Apr-2025,,3401.10,3412.50,3387.70,3401.60,2252175,0.00
23-Apr-2025,,3365.00,3420.90,3337.30,3413.00,3543923,0.00
22-Apr-2025,,3322.60,3333.90,3295.00,3314.40,2710498,0.00
21-Apr-2025,,3290.10,3354.00,3284.10,3321.60,2432946,0.00
17-Apr-2025,,3245.50,3303.60,3218.00,3298.90,2932346,0.00
16-Apr-2025,,3248.20,3278.10,3229.00,3273.80,2384391,0.00
15-Apr-2025,,3314.40,3314.40,3238.60,3248.20,3512160,0.00
11-Apr-2025,,3289.55,3298.95,3206.00,3231.50,7108961,0.00
09-Apr-2025,,3260.55,3270.00,3212.05,3246.60,2990265,0.00
08-Apr-2025,,3302.05,3349.00,3255.30,3292.95,5557558,0.00
07-Apr-2025,,3100.00,3291.40,3056.05,3274.05,6623955,0.00
04-Apr-2025,,3362.60,3399.65,3295.50,3299.40,5317367,0.00
03-Apr-2025,,3491.00,3502.00,3396.15,3403.15,4537821,0.00
02-Apr-2025,,3544.00,3564.10,3530.05,3543.95,1764313,0.00
01-Apr-2025,,3572.70,3584.00,3525.00,3550.80,2618493,0.00
28-Mar-2025,,3651.00,3660.95,3591.90,3606.15,2051919,0.00
27-Mar-2025,,3614.85,3663.00,3610.50,3651.20,2528474,0.00
26-Mar-2025,,3647.75,3680.50,3625.85,3635.80,1734499,0.00
25-Mar-2025,,3645.00,3710.00,3638.00,3657.75,3135390,0.00
24-Mar-2025,,3600.00,3649.75,3566.60,3628.95,1834751,0.00
21-Mar-2025,,3475.00,3616.25,3465.00,3578.10,4161925,0.00
20-Mar-2025,,3512.00,3578.95,3512.00,3563.15,2845192,0.00
19-Mar-2025,,3547.00,3547.00,3462.75,3497.10,3051244,0.00
18-Mar-2025,,3502.35,3556.95,3478.45,3552.45,3069109,0.00
17-Mar-2025,,3489.00,3530.45,3477.35,3497.70,2690906,0.00
13-Mar-2025,,3502.30,3524.30,3484.10,3511.05,1693004,0.00
12-Mar-2025,,3565.00,3569.25,3486.85,3506.20,3174167,0.00
11-Mar-2025,,3558.00,3588.75,3537.65,3575.30,1995450,0.00
10-Mar-2025,,3606.50,3622.10,3582.60,3589.65,1004626,0.00
07-Mar-2025,,3600.00,3625.00,3574.40,3611.20,2051315,0.00
06-Mar-2025,,3557.00,3609.45,3536.10,3601.60,2786513,0.00
05-Mar-2025,,3520.85,3600.35,3520.85,3547.05,2501894,0.00
04-Mar-2025,,3474.00,3551.00,3464.30,3532.05,2797737,0.00
03-Mar-2025,,3485.00,3523.25,3476.15,3493.05,4990439,0.00
28-Feb-2025,,3584.95,3600.00,3457.00,3483.25,7085018,0.00
27-Feb-2025,,3611.70,3638.00,3600.70,3612.55,3823856,0.00
25-Feb-2025,,3625.00,3658.00,3621.25,3629.55,4101954,0.00
24-Feb-2025,,3743.15,3763.20,3670.00,3675.60,2508516,0.00
21-Feb-2025,,3776.10,3817.00,3775.00,3786.00,1833931,0.00
20-Feb-2025,,3761.50,3788.00,3751.30,3779.40,2888572,0.00
19-Feb-2025,,3872.20,3874.95,3768.15,3784.10,4366672,0.00
18-Feb-2025,,3898.40,3924.40,3864.50,3873.20,2149879,0.00
17-Feb-2025,,3856.50,3934.00,3856.20,3904.50,1799806,0.00
14-Feb-2025,,3925.00,3948.00,3900.00,3934.85,1681975,0.00
13-Feb-2025,,3968.00,3984.45,3902.25,3910.15,2277310,0.00
12-Feb-2025,,3971.10,4021.75,3940.15,3950.15,1678002,0.00
11-Feb-2025,,4018.40,4040.00,3955.00,3963.55,1810908,0.00
10-Feb-2025,,4040.00,4052.00,4014.35,4036.95,1339511,0.00
07-Feb-2025,,4090.00,4090.00,4008.00,4029.40,1548940,0.00
06-Feb-2025,,4105.40,4139.50,4051.55,4082.75,2284536,0.00
05-Feb-2025,,4150.00,4150.00,4076.00,4091.10,1693912,0.00
04-Feb-2025,,4083.70,4118.85,4066.05,4107.05,2547132,0.00
03-Feb-2025,,4030.90,4077.00,3998.70,4068.65,1265713,0.00
01-Feb-2025,,4113.00,4135.90,4056.00,4073.15,437172,0.00
31-Jan-2025,,4110.00,4128.45,4085.25,4112.40,1492943,0.00
30-Jan-2025,,4099.90,4129.90,4058.50,4100.05,1531251,0.00
29-Jan-2025,,4054.00,4107.85,4054.00,4099.80,1217089,0.00
28-Jan-2025,,4070.80,4102.00,4028.30,4040.30,2468272,0.00
27-Jan-2025,,4102.00,4156.35,4041.05,4065.15,1551782,0.00
24-Jan-2025,,4104.00,4178.00,4104.00,4152.35,1910099,0.00
23-Jan-2025,,4168.00,4191.35,4140.05,4145.45,1822998,0.00
22-Jan-2025,,4050.00,4163.15,4044.20,4156.60,2409223,0.00
21-Jan-2025,,4095.30,4111.00,4030.00,4035.85,1971591,0.00
20-Jan-2025,,4145.80,4145.80,4068.10,4077.80,1287799,0.00
17-Jan-2025,,4159.90,4160.60,4100.05,4124.30,1761466,0.00
16-Jan-2025,,4260.00,4294.00,4191.85,4206.30,2637705,0.00
15-Jan-2025,,4218.00,4256.45,4207.45,4249.60,1653474,0.00
14-Jan-2025,,4302.00,4313.90,4219.05,4233.05,3441709,0.00
13-Jan-2025,,4245.00,4322.95,4227.40,4291.10,4003771,0.00
10-Jan-2025,,4200.00,4297.00,4170.00,4265.65,7894300,0.00
09-Jan-2025,,4101.00,4137.75,4025.30,4038.85,2392472,0.00
08-Jan-2025,,4034.90,4126.00,4017.75,4108.40,2181277,0.00
07-Jan-2025,,4114.95,4140.35,4011.55,4028.30,2669054,0.00
06-Jan-2025,,4105.50,4149.65,4066.40,4095.00,2085593,0.00
03-Jan-2025,,4179.95,4179.95,4092.30,4099.90,1791953,0.00
02-Jan-2025,,4120.00,4183.00,4096.95,4175.75,1720835,0.00
01-Jan-2025,,4094.40,4134.00,4085.45,4112.45,763161,0.00
31-Dec-2024,,4135.00,4139.95,4032.05,4094.80,1555429,0.00
30-Dec-2024,,4151.00,4199.30,4112.00,4158.80,1527169,0.00
27-Dec-2024,,4163.00,4180.95,4147.25,4164.85,858100,0.00
26-Dec-2024,,4179.50,4199.95,4143.15,4169.10,1208464,0.00
24-Dec-2024,,4158.30,4218.00,4158.30,4179.50,1181886,0.00
23-Dec-2024,,4200.05,4217.00,4114.90,4158.30,2195338,0.00
20-Dec-2024,,4329.00,4382.00,4152.50,4170.30,4116989,0.00
19-Dec-2024,,4282.00,4364.00,4262.00,4271.90,3015763,0.00
18-Dec-2024,,4311.70,4362.00,4289.60,4347.85,1575404,0.00
17-Dec-2024,,4410.00,4432.95,4318.00,4328.50,3225027,0.00
16-Dec-2024,,4459.00,4475.00,4397.00,4415.20,1646224,0.00
13-Dec-2024,,4434.95,4494.90,4394.40,4473.90,1967048,0.00
12-Dec-2024,,4430.05,4485.00,4426.00,4454.95,1914642,0.00
11-Dec-2024,,4431.85,4448.65,4407.00,4427.45,1635256,0.00
10-Dec-2024,,4426.15,4493.80,4412.10,4432.55,2087828,0.00
09-Dec-2024,,4430.45,4469.40,4415.55,4452.15,2066639,0.00
06-Dec-2024,,4453.00,4465.00,4412.75,4445.50,1842087,0.00
05-Dec-2024,,4400.80,4489.00,4360.00,4464.05,3746747,0.00
04-Dec-2024,,4313.55,4386.95,4289.05,4354.40,3302642,0.00
