Ticker,Date,Close
AXISBANK,01-01-2001,45.5
CUMMINSIND,01-01-2001,87.4
HEROMOTOCO,01-01-2001,854.35
ICICIBANK,01-01-2001,148.75
INDUSINDBK,01-01-2001,20.6
ITC,01-01-2001,893.85
SBIN,01-01-2001,195
AXISBANK,01-01-2002,26.3
CUMMINSIND,01-01-2002,55.15
HEROMOTOCO,01-01-2002,253.3
ICICIBANK,01-01-2002,88.5
INDUSINDBK,01-01-2002,10.6
ITC,01-01-2002,684.05
SBIN,01-01-2002,183.45
AXISBANK,01-01-2003,43.6
BHARTIARTL,01-01-2003,22.65
CUMMINSIND,01-01-2003,49.05
HEROMOTOCO,01-01-2003,261.6
ICICIBANK,01-01-2003,140.4
INDUSINDBK,01-01-2003,15.5
ITC,01-01-2003,659.3
SBIN,01-01-2003,284.55
AXISBANK,01-01-2004,137.5
BHARTIARTL,01-01-2004,111.05
CUMMINSIND,01-01-2004,124.2
HEROMOTOCO,01-01-2004,458.9
ICICIBANK,01-01-2004,302.75
INDUSINDBK,01-01-2004,43.7
ITC,01-01-2004,994.8
SBIN,01-01-2004,564.65
AXISBANK,01-01-2008,972.55
BHARTIARTL,01-01-2008,967.6
COFORGE,01-01-2008,238.15
CUMMINSIND,01-01-2008,409
HEROMOTOCO,01-01-2008,698.45
ICICIBANK,01-01-2008,1228.75
INDUSINDBK,01-01-2008,129.05
ITC,01-01-2008,217.6
LT,01-01-2008,4146.25
SBIN,01-01-2008,2383.5
SUZLON,01-01-2008,1950.45
TCS,01-01-2008,1054.55
AXISBANK,01-01-2009,516.85
BHARTIARTL,01-01-2009,719.95
COFORGE,01-01-2009,74.8
CUMMINSIND,01-01-2009,223.9
HEROMOTOCO,01-01-2009,811.85
ICICIBANK,01-01-2009,464.15
INDUSINDBK,01-01-2009,39.25
ITC,01-01-2009,171.65
LT,01-01-2009,821.75
SBIN,01-01-2009,1316.3
SUZLON,01-01-2009,66.3
TCS,01-01-2009,496.85
AXISBANK,01-01-2013,1362.7
BHARTIARTL,01-01-2013,322.1
COFORGE,01-01-2013,246
CUMMINSIND,01-01-2013,519.35
HEROMOTOCO,01-01-2013,1897.35
ICICIBANK,01-01-2013,1158.45
INDUSINDBK,01-01-2013,423.25
ITC,01-01-2013,287.25
LT,01-01-2013,1624.9
PERSISTENT,01-01-2013,515.05
SBIN,01-01-2013,2426.45
SUZLON,01-01-2013,18.8
TCS,01-01-2013,1264.15
AXISBANK,01-01-2014,1292.2
BHARTIARTL,01-01-2014,337.75
COFORGE,01-01-2014,368.25
CUMMINSIND,01-01-2014,472.8
HEROMOTOCO,01-01-2014,2085.85
ICICIBANK,01-01-2014,1097.7
INDUSINDBK,01-01-2014,423.35
ITC,01-01-2014,322.4
LT,01-01-2014,1068.55
PERSISTENT,01-01-2014,979.65
SBIN,01-01-2014,1765.05
SUZLON,01-01-2014,11.3
TCS,01-01-2014,2153.3
AXISBANK,01-01-2015,503.05
BHARTIARTL,01-01-2015,362.9
COFORGE,01-01-2015,367.05
CUMMINSIND,01-01-2015,871.7
HEROMOTOCO,01-01-2015,3105.4
ICICIBANK,01-01-2015,352.3
INDUSINDBK,01-01-2015,812
ITC,01-01-2015,367.15
LT,01-01-2015,1502.95
PERSISTENT,01-01-2015,1733.2
SBIN,01-01-2015,314
SUZLON,01-01-2015,14.55
TCS,01-01-2015,2545.55
AXISBANK,01-01-2016,449.9
BHARTIARTL,01-01-2016,340.5
COFORGE,01-01-2016,577.6
CUMMINSIND,01-01-2016,1038.8
HEROMOTOCO,01-01-2016,2686.05
ICICIBANK,01-01-2016,263
INDUSINDBK,01-01-2016,963.85
ITC,01-01-2016,327.5
LT,01-01-2016,1289.2
PERSISTENT,01-01-2016,649.1
SBIN,01-01-2016,227.8
SUZLON,01-01-2016,21.85
TCS,01-01-2016,2416.4
AXISBANK,01-01-2018,565.5
BHARTIARTL,01-01-2018,527.9
BSE,01-01-2018,930.95
COFORGE,01-01-2018,653.8
CUMMINSIND,01-01-2018,913.05
DIXON,01-01-2018,4187.55
HEROMOTOCO,01-01-2018,3749.1
ICICIBANK,01-01-2018,310.3
INDUSINDBK,01-01-2018,1623.85
ITC,01-01-2018,262.3
LT,01-01-2018,1260.7
PERSISTENT,01-01-2018,711.8
SBIN,01-01-2018,307.1
SUZLON,01-01-2018,15.8
TCS,01-01-2018,2645.6
AXISBANK,01-01-2019,627.3
BHARTIARTL,01-01-2019,319.5
BSE,01-01-2019,601.1
COFORGE,01-01-2019,1151.5
CUMMINSIND,01-01-2019,848.45
DIXON,01-01-2019,2043.1
HDFCAMC,01-01-2019,1514.35
HEROMOTOCO,01-01-2019,3127.6
ICICIBANK,01-01-2019,363.75
INDUSINDBK,01-01-2019,1595.6
ITC,01-01-2019,282.7
LT,01-01-2019,1441.9
PERSISTENT,01-01-2019,626.1
SBIN,01-01-2019,299.6
SUZLON,01-01-2019,5.45
TCS,01-01-2019,1902.8
AXISBANK,01-01-2020,748.7
BHARTIARTL,01-01-2020,453.3
BSE,01-01-2020,500.85
COFORGE,01-01-2020,1578.2
CUMMINSIND,01-01-2020,552.15
DIXON,01-01-2020,3786.55
HDFCBANK,01-01-2020,1278.6
HDFCAMC,01-01-2020,3177.4
HEROMOTOCO,01-01-2020,2432.55
ICICIBANK,01-01-2020,536.75
INDUSINDBK,01-01-2020,1484.3
INFY,01-01-2020,736.85
ITC,01-01-2020,238.1
LT,01-01-2020,1309.95
PERSISTENT,01-01-2020,706.4
RELIANCE,01-01-2020,1509.6
SBIN,01-01-2020,334.45
SUZLON,01-01-2020,1.9
TCS,01-01-2020,2167.6
AXISBANK,01-01-2021,623.8
BHARTIARTL,01-01-2021,515.15
BSE,01-01-2021,633.75
COFORGE,01-01-2021,2722.25
CUMMINSIND,01-01-2021,581.35
DIXON,01-01-2021,13621.9
HDFCBANK,01-01-2021,1425.05
HDFCAMC,01-01-2021,2998.05
HEROMOTOCO,01-01-2021,3102.65
ICICIBANK,01-01-2021,527.5
INDUSINDBK,01-01-2021,900.15
INFY,01-01-2021,1260.45
ITC,01-01-2021,213.85
LT,01-01-2021,1297
PERSISTENT,01-01-2021,1497.55
RELIANCE,01-01-2021,1987.5
SBIN,01-01-2021,279.4
SUZLON,01-01-2021,6.7
TCS,01-01-2021,2928.25
AXISBANK,01-01-2024,1097.7
BHARTIARTL,01-01-2024,1013.05
BSE,01-01-2024,2203.05
COFORGE,01-01-2024,6192.55
CUMMINSIND,01-01-2024,1957.95
DIXON,01-01-2024,6460.35
HDFCBANK,01-01-2024,1698.1
HDFCAMC,01-01-2024,3221.3
HEROMOTOCO,01-01-2024,4118.55
ICICIBANK,01-01-2024,999.4
INDUSINDBK,01-01-2024,1598.85
INFY,01-01-2024,1551.35
ITC,01-01-2024,468.05
LT,01-01-2024,3525.45
PERSISTENT,01-01-2024,7317.9
POLICYBZR,01-01-2024,800.9
RELIANCE,01-01-2024,2590.25
SBIN,01-01-2024,641.35
SUZLON,01-01-2024,38.5
TCS,01-01-2024,3811.1
AXISBANK,01-01-2025,1071.8
BHARTIARTL,01-01-2025,1595.7
BSE,01-01-2025,5426
COFORGE,01-01-2025,9628.55
CUMMINSIND,01-01-2025,3230.5
DIXON,01-01-2025,17994.2
HDFCBANK,01-01-2025,1782.75
HDFCAMC,01-01-2025,4162.55
HEROMOTOCO,01-01-2025,4184.35
ICICIBANK,01-01-2025,1283.65
INDUSINDBK,01-01-2025,969.4
INFY,01-01-2025,1882.5
ITC,01-01-2025,483.95
LT,01-01-2025,3667.5
PERSISTENT,01-01-2025,6436.8
POLICYBZR,01-01-2025,2119.2
RELIANCE,01-01-2025,1221.25
SBIN,01-01-2025,793.2
SUZLON,01-01-2025,65.33
TCS,01-01-2025,4112.45
AXISBANK,01-02-2000,34.15
CUMMINSIND,01-02-2000,611.9
HEROMOTOCO,01-02-2000,1146.25
ICICIBANK,01-02-2000,157.8
INDUSINDBK,01-02-2000,39.7
ITC,01-02-2000,701.55
SBIN,01-02-2000,246.5
AXISBANK,01-02-2001,43.35
CUMMINSIND,01-02-2001,83.45
HEROMOTOCO,01-02-2001,862.4
ICICIBANK,01-02-2001,152.2
INDUSINDBK,01-02-2001,20.4
ITC,01-02-2001,893.6
SBIN,01-02-2001,228.15
AXISBANK,01-02-2002,29.05
CUMMINSIND,01-02-2002,52.1
HEROMOTOCO,01-02-2002,317.4
ICICIBANK,01-02-2002,91.1
INDUSINDBK,01-02-2002,10.6
ITC,01-02-2002,699.5
SBIN,01-02-2002,212.1
AXISBANK,01-02-2005,204.45
BHARTIARTL,01-02-2005,222.6
COFORGE,01-02-2005,137.6
CUMMINSIND,01-02-2005,131
HEROMOTOCO,01-02-2005,531.45
ICICIBANK,01-02-2005,361.8
INDUSINDBK,01-02-2005,58.35
ITC,01-02-2005,1350.05
LT,01-02-2005,988
SBIN,01-02-2005,634.05
TCS,01-02-2005,1315.25
AXISBANK,01-02-2006,336.15
BHARTIARTL,01-02-2006,351.2
COFORGE,01-02-2006,175.1
CUMMINSIND,01-02-2006,199.65
HEROMOTOCO,01-02-2006,864.75
ICICIBANK,01-02-2006,590.2
INDUSINDBK,01-02-2006,51.4
ITC,01-02-2006,155.05
LT,01-02-2006,2283.3
SBIN,01-02-2006,869.25
SUZLON,01-02-2006,1098.3
TCS,01-02-2006,1666.65
AXISBANK,01-02-2007,542.15
BHARTIARTL,01-02-2007,731.55
COFORGE,01-02-2007,402.15
CUMMINSIND,01-02-2007,272.45
HEROMOTOCO,01-02-2007,725.7
ICICIBANK,01-02-2007,952.55
